"Số đơn vị hành chính có đến phân theo địa phương chia theo Phân theo địa phương, Năm và Đơn vị hành chính"

" ";"2009";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";"2017";" ";" ";" ";" ";" ";" "
" ";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã";"Thành phố trực thuộc tỉnh";"Quận";"Thị xã";"Huyện";"Phường";"Thị trấn";"Xã"
"CẢ NƯỚC";48;47;46;556;1366;625;9121;54;47;43;553;1403;624;9084;55;47;48;548;1448;623;9050;59;47;45;549;1457;620;9068;64;49;47;548;1545;615;9001;64;49;47;548;1545;615;9001;67;49;51;546;1581;603;8978;67;49;51;546;1581;603;8978;68;49;50;546;1587;602;8973
"Đồng bằng sông Hồng";10;17;6;96;373;124;1955;10;17;7;95;387;121;1944;11;17;7;94;400;120;1932;12;17;6;94;400;120;1931;12;19;6;93;433;119;1906;12;19;6;93;433;119;1906;13;19;6;92;440;117;1901;13;19;6;92;440;117;1901;13;19;6;92;440;117;1901
"Hà Nội";..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;12;1;17;177;21;386;..;12;1;17;177;21;386;..;12;1;17;177;21;386;..;12;1;17;177;21;386;..;12;1;17;177;21;386
"Vĩnh Phúc";1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112
"Bắc Ninh";1;..;1;6;17;6;103;1;..;1;6;20;6;100;1;..;1;6;20;6;100;1;..;1;6;20;6;100;1;..;1;6;23;6;97;1;..;1;6;23;6;97;1;..;1;6;23;6;97;1;..;1;6;23;6;97;1;..;1;6;23;6;97
"Quảng Ninh";2;..;2;10;45;11;130;2;..;2;10;48;11;127;3;..;2;9;61;10;115;4;..;1;9;61;10;115;4;..;1;9;61;10;115;4;..;1;9;61;10;115;4;..;2;8;67;8;111;4;..;2;8;67;8;111;4;..;2;8;67;8;111
"Hải Dương";1;..;..;11;15;16;234;1;..;1;10;23;13;229;1;..;1;10;23;13;229;1;..;1;10;23;13;229;1;..;1;10;25;13;227;1;..;1;10;25;13;227;1;..;1;10;25;13;227;1;..;1;10;25;13;227;1;..;1;10;25;13;227
"Hải Phòng";..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143
"Hưng Yên";1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145
"Thái Bình";1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267
"Hà Nam";1;..;..;5;6;7;103;1;..;..;5;6;7;103;1;..;..;5;6;7;103;1;..;..;5;6;7;103;1;..;..;5;11;7;98;1;..;..;5;11;7;98;1;..;..;5;11;7;98;1;..;..;5;11;7;98;1;..;..;5;11;7;98
