"Hiện trạng sử dụng đất (Tính đến 31/12/2016)(*) by Loại đất and Hiện trạng"

" ";"Tổng diện tích";"Đất đã giao cho các đối tượng sử dụng";"Đất đã giao cho các đối tượng quản lý"
"CẢ NƯỚC";33123.1;26851.5;6271.6
"Đất nông nghiệp";27284.9;24481.0;2803.9
"Đất sản xuất nông nghiệp";11526.8;11428.5;98.3
"    Đất trồng cây hàng năm";6988.3;6936.2;52.1
"        Đất trồng lúa";4136.2;4117.9;18.3
"        Đất trồng cây hàng năm khác";2852.1;2818.3;33.8
"    Đất trồng cây lâu năm";4538.5;4492.3;46.2
"Đất lâm nghiệp";14908.4;12210.2;2698.2
"    Rừng sản xuất";7478.5;6088.3;1390.2
"    Rừng phòng hộ";5239.3;4002.8;1236.5
"    Rừng đặc dụng";2190.6;2119.1;71.5
"Đất nuôi trồng thuỷ sản";797.3;790.6;6.7
"Đất làm muối";17.6;17.2;0.4
"Đất nông nghiệp khác";34.8;34.5;0.3
"Đất phi nông nghiệp";3725.3;1851.0;1874.3
"Đất ở";708.4;706.4;2.0
"    Đất ở đô thị";156.5;155.6;0.9
"    Đất ở nông thôn";551.9;550.8;1.1
"Đất chuyên dùng";1856.5;917.3;939.2
"    Đất trụ sở cơ quan, công trình sự nghiệp";94.1;92.0;2.1
"    Đất quốc phòng, an ninh";297.7;297.6;0.1
"    Đất sản xuất, kinh doanh phi nông nghiệp";268.7;266.4;2.3
"    Đất có mục đích công cộng";1196.0;261.3;934.7
"Đất tôn giáo, tín ngưỡng";18.3;18.3;..
"Đất nghĩa trang, nghĩa địa";103.8;93.0;10.8
"Đất sông suối và mặt nước chuyên dùng";987.0;65.0;922.0
"Đất phi nông nghiệp khác";51.3;51.0;0.3
"Đất chưa sử dụng";2112.9;519.5;1593.4
"Đất bằng chưa sử dụng";215.7;18.6;197.1
"Đất đồi núi chưa sử dụng";1717.2;492.1;1225.1
"Núi đá không có rừng cây";180.0;8.8;171.2

"Theo Quyết định số 2311/QĐ-BTNMT ngày 28 tháng 9 năm 2017 của "
"Bộ trưởng Bộ Tài nguyên và Môi trường."

