"Hiện trạng sử dụng đất phân theo địa phương (Tính đến 31/12/2016)(*) chia theo Phân theo địa phương và Hiện trạng sử dụng đất"

" ";"Tổng diện tích";"Đất sản xuất nông nghiệp";"Đất lâm nghiệp";"Đất chuyên dùng";"Đất ở"
"CẢ NƯỚC";33123.1;11526.8;14908.4;1856.5;708.4
"Đồng bằng sông Hồng";2125.9;795.3;494.6;317.1;144.6
"Hà Nội";335.9;155.6;22.3;63.3;40.2
"Vĩnh Phúc";123.5;55.7;32.3;17.2;7.7
"Bắc Ninh";82.3;43.5;0.6;17.1;10.2
"Quảng Ninh";617.8;61.3;373.2;43.6;8.1
"Hải Dương";166.8;86.2;9.4;31.2;16.7
"Hải Phòng";156.2;50.7;19.3;28.4;14.5
"Hưng Yên";93.0;54.0;..;17.3;9.6
"Thái Bình";158.6;93.5;0.9;29.5;13.5
"Hà Nam";86.2;42.3;5.3;19.0;6.2
"Nam Định";166.9;91.2;2.9;30.1;11.2
"Ninh Bình";138.7;61.3;28.4;20.4;6.7
"Trung du và miền núi phía Bắc";9520.0;2123.4;5405.1;326.1;111.1
"Hà Giang";792.9;197.9;445.4;16.7;7.1
"Cao Bằng";670.0;109.3;508.7;17.2;5.5
"Bắc Kạn";486.0;44.2;413.5;11.5;2.6
"Tuyên Quang";586.8;95.0;441.7;23.1;6.1
"Lào Cai";636.4;135.8;342.2;18.6;5.1
"Yên Bái";688.8;119.2;466.7;17.1;5.3
"Thái Nguyên";352.7;112.5;185.9;22.2;12.1
"Lạng Sơn";831.0;111.4;574.5;28.8;8.1
"Bắc Giang";389.5;147.9;145.8;47.6;18.4
"Phú Thọ";353.5;118.4;170.6;25.7;10.5
"Điện Biên";954.1;368.6;358.1;10.1;4.9
"Lai Châu";906.9;109.7;411.8;14.7;3.0
"Sơn La";1412.3;364.9;643.8;41.9;8.4
"Hoà Bình";459.1;88.6;296.4;30.9;14.0
"Bắc Trung Bộ và Duyên hải miền Trung";9564.9;2200.3;5743.3;553.3;185.4
"Thanh Hoá";1111.4;249.1;646.4;74.7;54.9
"Nghệ An";1648.2;302.0;1148.3;75.7;24.7
"Hà Tĩnh";599.1;151.8;325.0;42.0;11.9
"Quảng Bình";800.0;90.2;627.1;30.9;6.2
"Quảng Trị";462.2;120.9;257.5;17.7;4.3
"Thừa Thiên Huế";490.2;69.0;324.0;33.2;9.5
"Đà Nẵng";128.5;6.7;62.9;43.3;7.3
"Quảng Nam";1057.5;220.0;667.4;43.5;20.4
"Quảng Ngãi";515.2;151.2;299.2;22.8;11.2
"Bình Định";606.6;137.6;370.2;34.9;9.3
"Phú Yên";502.3;156.0;255.1;30.0;5.4
"Khánh Hoà";513.8;100.7;227.1;35.5;6.5
"Ninh Thuận";335.5;83.6;189.0;19.5;4.9
"Bình Thuận";794.4;361.5;344.1;49.6;8.9
"Tây Nguyên";5450.7;2422.0;2491.3;192.2;59.2
"Kon Tum";967.4;264.3;611.0;31.6;8.3
"Gia Lai";1551.1;801.7;586.1;52.3;18.0
"Đắk Lắk";1303.0;627.5;520.1;53.4;14.9
"Đắk Nông";650.9;360.9;234.5;26.7;5.5
"Lâm Đồng";978.3;367.6;539.6;28.2;12.5
"Đông Nam Bộ";2351.9;1361.8;502.3;222.9;81.0
"Bình Phước";687.7;446.2;172.9;46.5;6.2
"Tây Ninh";404.1;270.6;72.0;24.2;9.1
"Bình Dương";269.5;195.2;10.5;36.9;13.5
"Đồng Nai";586.4;277.8;180.1;48.1;17.5
"Bà Rịa - Vũng Tàu";198.1;105.4;33.8;33.0;7.0
"TP.Hồ Chí Minh";206.1;66.6;33.0;34.2;27.7
"Đồng bằng sông Cửu Long";4081.8;2622.9;248.4;244.8;127.1
"Long An";449.5;318.5;29.3;38.5;26.4
"Tiền Giang";251.1;179.7;3.2;13.9;9.9
"Bến Tre";239.5;140.6;6.9;10.9;8.1
"Trà Vinh";235.8;147.9;7.7;13.7;4.8
"Vĩnh Long";152.6;119.8;..;10.1;6.0
"Đồng Tháp";338.4;260.6;11.1;25.6;14.5
"An Giang";353.7;282.7;11.6;24.2;13.5
"Kiên Giang";634.9;463.0;71.1;29.7;13.8
"Cần Thơ";143.9;112.2;..;11.8;8.4
"Hậu Giang";162.2;135.9;4.3;11.2;4.5
"Sóc Trăng";331.2;213.3;9.8;20.5;5.7
"Bạc Liêu";266.9;101.8;3.7;10.8;5.0
"Cà Mau";522.1;146.9;89.7;23.9;6.5
"Không xác định";27.9;1.1;23.4;0.1;..

"Theo Quyết định số 2311/QĐ-BTNMT ngày 28 tháng 9 năm 2017 của "
"Bộ trưởng Bộ Tài nguyên và Môi trường."

