"Cơ cấu đất sử dụng phân theo địa phương (Tính đến 31/12/2016) chia theo Phân theo địa phương và Đất sử dụng"

" ";"Tổng diện tích";"Đất sản xuất nông nghiệp";"Đất lâm nghiệp";"Đất chuyên dùng";"Đất ở"
"CẢ NƯỚC";100.0;34.8;45.0;5.6;2.1
"Đồng bằng sông Hồng";100.0;37.4;23.3;14.9;6.8
"Hà Nội";100.0;46.3;6.6;18.8;12.0
"Vĩnh Phúc";100.0;45.1;26.2;13.9;6.2
"Bắc Ninh";100.0;52.9;0.7;20.8;12.4
"Quảng Ninh";100.0;9.9;60.4;7.1;1.3
"Hải Dương";100.0;51.7;5.6;18.7;10.0
"Hải Phòng";100.0;32.5;12.4;18.2;9.3
"Hưng Yên";100.0;58.1;..;18.6;10.3
"Thái Bình";100.0;59.0;0.6;18.6;8.5
"Hà Nam";100.0;49.1;6.1;22.0;7.2
"Nam Định";100.0;54.6;1.7;18.0;6.7
"Ninh Bình";100.0;44.2;20.5;14.7;4.8
"Trung du và miền núi phía Bắc";100.0;22.3;56.8;3.4;1.2
"Hà Giang";100.0;25.0;56.2;2.1;0.9
"Cao Bằng";100.0;16.3;75.9;2.6;0.8
"Bắc Kạn";100.0;9.1;85.1;2.4;0.5
"Tuyên Quang";100.0;16.2;75.3;3.9;1.0
"Lào Cai";100.0;21.3;53.8;2.9;0.8
"Yên Bái";100.0;17.3;67.8;2.5;0.8
"Thái Nguyên";100.0;31.9;52.7;6.3;3.4
"Lạng Sơn";100.0;13.4;69.1;3.5;1.0
"Bắc Giang";100.0;38.0;37.4;12.2;4.7
"Phú Thọ";100.0;33.5;48.3;7.3;3.0
"Điện Biên";100.0;38.6;37.5;1.1;0.5
"Lai Châu";100.0;12.1;45.4;1.6;0.3
"Sơn La";100.0;25.8;45.6;3.0;0.6
"Hoà Bình";100.0;19.3;64.6;6.7;3.0
"Bắc Trung Bộ và Duyên hải miền Trung";100.0;23.0;60.0;5.8;1.9
"Thanh Hoá";100.0;22.4;58.2;6.7;4.9
"Nghệ An";100.0;18.3;69.7;4.6;1.5
"Hà Tĩnh";100.0;25.3;54.2;7.0;2.0
"Quảng Bình";100.0;11.3;78.4;3.9;0.8
"Quảng Trị";100.0;26.2;55.7;3.8;0.9
"Thừa Thiên Huế";100.0;14.1;66.1;6.8;1.9
"Đà Nẵng";100.0;5.2;48.9;33.7;5.7
"Quảng Nam";100.0;20.8;63.1;4.1;1.9
"Quảng Ngãi";100.0;29.3;58.1;4.4;2.2
"Bình Định";100.0;22.7;61.0;5.8;1.5
"Phú Yên";100.0;31.1;50.8;6.0;1.1
"Khánh Hoà";100.0;19.6;44.2;6.9;1.3
"Ninh Thuận";100.0;24.9;56.3;5.8;1.5
"Bình Thuận";100.0;45.5;43.3;6.2;1.1
"Tây Nguyên";100.0;44.4;45.7;3.5;1.1
"Kon Tum";100.0;27.3;63.2;3.3;0.9
"Gia Lai";100.0;51.7;37.8;3.4;1.2
"Đắk Lắk";100.0;48.2;39.9;4.1;1.1
"Đắk Nông";100.0;55.4;36.0;4.1;0.8
"Lâm Đồng";100.0;37.6;55.2;2.9;1.3
"Đông Nam Bộ";100.0;57.9;21.4;9.5;3.4
"Bình Phước";100.0;64.9;25.1;6.8;0.9
"Tây Ninh";100.0;67.0;17.8;6.0;2.3
"Bình Dương";100.0;72.4;3.9;13.7;5.0
"Đồng Nai";100.0;47.4;30.7;8.2;3.0
"Bà Rịa - Vũng Tàu";100.0;53.2;17.1;16.7;3.5
"TP.Hồ Chí Minh";100.0;32.3;16.0;16.6;13.4
"Đồng bằng sông Cửu Long";100.0;64.3;6.1;6.0;3.1
"Long An";100.0;70.9;6.5;8.6;5.9
"Tiền Giang";100.0;71.6;1.3;5.5;3.9
"Bến Tre";100.0;58.7;2.9;4.6;3.4
"Trà Vinh";100.0;62.7;3.3;5.8;2.0
"Vĩnh Long";100.0;78.5;..;6.6;3.9
"Đồng Tháp";100.0;77.0;3.3;7.6;4.3
"An Giang";100.0;79.9;3.3;6.8;3.8
"Kiên Giang";100.0;72.9;11.2;4.7;2.2
"Cần Thơ";100.0;78.0;..;8.2;5.8
"Hậu Giang";100.0;83.8;2.7;6.9;2.8
"Sóc Trăng";100.0;64.4;3.0;6.2;1.7
"Bạc Liêu";100.0;38.1;1.4;4.0;1.9
"Cà Mau";100.0;28.1;17.2;4.6;1.2
"Không xác định";100.0;3.9;83.9;0.4;..

