"Tổng số giờ nắng tại một số trạm quan trắc chia theo Tỉnh, thành phố và Năm"

" ";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Lai Châu";1884.0;1600.0;1645.0;2049.9;1913.8;1664.1;1846.5;1964.8;1951.0;2023.6;1996.2;1699.1
"Sơn La";2063.0;2083.0;1831.0;2208.1;2163.2;1782.8;2068.3;2026.5;2155.1;2251.9;2261.5;1926.5
"Tuyên Quang";1421.0;1472.0;1358.0;1578.0;1578.0;1389.6;1372.5;1571.5;1458.3;1684.4;1772.0;1448.3
"Hà Nội (Láng)";1363.0;1462.0;1234.0;1413.0;1256.0;1063.6;909.7;1227.8;1168.0;1322.0;1339.8;1075.2
"Bãi Cháy";1457.0;1409.0;1338.0;1602.2;1285.6;1430.8;1147.0;1278.7;1396.4;1570.7;1525.0;1344.0
"Nam Định";1418.0;1396.0;1215.0;1454.3;1305.0;1164.6;1153.4;1219.6;1258.0;1519.4;1351.0;1158.1
"Vinh";1558.0;1564.0;1314.0;1523.8;1484.0;1188.2;1460.6;1372.9;1502.4;1750.8;1536.5;1408.8
"Huế";1899.0;1659.0;1546.0;1860.2;1973.8;1497.5;1865.9;1765.9;2025.1;2237.0;1754.2;1792.8
"Đà Nẵng";2193.0;2002.0;1860.0;2112.8;1434.0;1781.6;2101.3;1975.5;2208.6;2432.5;2125.3;2046.6
"Qui Nhơn";2401.0;2411.0;2289.0;2426.0;2528.6;2178.7;2567.5;2340.9;2638.1;2857.7;2509.5;2345.5
"Pleiku";2455.0;2248.0;2349.0;2329.6;2323.6;2214.9;2469.8;2310.2;2548.7;2756.7;2426.4;2285.6
"Đà Lạt";2213.0;1950.0;1920.0;2029.1;2029.1;1912.8;2111.4;2019.9;2117.9;2261.9;2103.2;1924.2
"Nha Trang";2712.0;2502.0;2407.0;2493.1;2527.3;2374.3;2688.1;2498.0;2705.8;2638.0;2511.2;2342.1
"Vũng Tàu";2613.0;2349.0;2509.0;2575.9;2575.9;2435.3;2661.5;2328.3;2693.8;2937.8;2690.3;2582.5
"Cà Mau";2175.0;1965.0;1939.0;1914.3;1914.3;1892.9;2071.9;1987.0;2195.8;2373.4;2104.6;1947.0

