"Mức thay đổi lượng mưa trung bình by Tỉnh, thành phố and Năm"

" ";"Năm 2010 so với năm 2009";"Năm 2011 so với năm 2010";"Năm 2012 so với năm 2011";"Năm 2013 so với năm 2012";"Năm 2014 so với năm 2013";"Năm 2015 so với năm 2014";"Năm 2016 so với năm 2015";"Năm 2017 so với năm 2016"
"Lai Châu";-118.1;159.9;601.0;37.9;-389.4;27.9;-108.7;992.7
"Sơn La";207.4;-116.4;386.6;60.0;-125.4;388.8;-331.1;-90.3
"Tuyên Quang";..;165.2;545.8;-346.6;-149.5;674.5;-678.8;877.8
"Hà Nội";-372.9;556.0;6.0;133.5;-274.1;-140.6;111.1;227.7
"Bãi  Cháy";274.7;-18.2;318.2;582.1;-802.1;445.6;-200.8;473.4
"Nam Định";-182.2;305.8;5.6;-15.5;-35.9;-371.7;262.6;706.0
"Vinh";1307.3;-457.9;-366.1;606.8;-1032.8;-2.3;710.7;159.8
"Huế";-955.1;1627.0;-2111.0;355.7;-416.2;-103.2;1593.2;305.9
"Đà Nẵng";-781.0;1411.0;-1951.7;620.6;-92.6;-351.7;816.3;-403.3
"Qui Nhơn";411.3;-1160.0;-41.9;421.9;-277.0;-276.5;1166.9;-122.0
"Pleiku";..;-158.2;-359.7;36.3;213.9;-823.6;255.9;-2.7
"Đà Lạt";..;-199.1;209.5;75.9;143.6;-127.6;82.4;14.1
"Nha Trang";1265.4;-1330.3;354.1;-316.3;-393.2;478.3;941.7;-1011.1
"Vũng Tàu";..;220.2;-167.3;151.0;10.8;-97.9;86.5;343.7
"Cà Mau";..;201.5;-292.0;-212.6;124.4;231.5;6.9;-128.9

