"Độ ẩm không khí trung bình các tháng trong năm tại một số trạm quan trắc by Năm, Tỉnh, thành phố and Tháng"

" ";" ";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"2017"
" ";"Lai Châu";83;78;78;79;79;87;87;92;89;89;86;85
" ";"Sơn La";82;73;70;75;74;78;84;85;83;80;81;80
" ";"Tuyên Quang";83;74;84;81;76;81;85;85;85;85;80;79
" ";"Hà Nội";77;71;84;79;76;74;80;79;82;76;71;70
" ";"Bãi Cháy";82;76;87;82;81;84;86;86;86;80;79;73
" ";"Nam Định";84;79;89;85;82;80;84;85;87;83;78;77
" ";"Vinh";91;88;91;84;84;74;79;75;82;85;85;85
" ";"Huế";93;94;92;88;86;80;85;82;85;90;94;92
" ";"Đà Nẵng";85;83;85;82;80;74;80;77;79;83;89;84
" ";"Qui Nhơn";82;81;82;82;81;73;73;78;77;78;87;81
" ";"Pleiku";78;75;74;76;84;88;92;89;88;85;83;78
" ";"Đà Lạt";82;79;78;85;88;87;92;91;90;89;87;84
" ";"Nha Trang";79;77;80;83;83;78;79;79;79;82;84;77
" ";"Vũng Tàu";77;76;74;74;79;80;82;82;80;81;81;76
" ";"Cà Mau";76;76;76;77;82;82;84;86;83;86;83;79
"2016"
" ";"Lai Châu";83;79;72;76;79;85;88;88;87;83;82;78
" ";"Sơn La";84;76;74;71;77;80;84;85;84;79;81;76
" ";"Tuyên Quang";87;76;84;83;80;74;79;84;82;78;82;76
" ";"Hà Nội";82;67;83;83;77;70;74;78;75;71;71;64
" ";"Bãi Cháy";87;74;87;89;84;82;86;86;82;77;80;72
" ";"Nam Định";88;75;88;88;82;77;79;83;82;80;79;75
" ";"Vinh";89;81;89;88;80;69;71;79;85;87;87;84
" ";"Huế";93;90;91;86;82;80;80;80;87;90;91;98
" ";"Đà Nẵng";86;80;84;81;78;74;75;76;82;83;85;89
" ";"Qui Nhơn";86;79;85;86;80;75;79;69;76;82;86;87
" ";"Pleiku";78;71;68;68;79;86;87;92;90;87;82;83
" ";"Đà Lạt";84;79;74;82;85;87;87;88;89;90;85;86
" ";"Nha Trang";81;75;79;81;79;76;76;75;79;84;83;86
" ";"Vũng Tàu";76;73;76;74;74;78;79;80;82;85;80;82
" ";"Cà Mau";78;73;75;74;79;84;84;83;85;88;82;80
"2015"
" ";"Lai Châu";75;78;73;73;72;82;84;87;88;84;83;87
" ";"Sơn La";80;75;72;70;68;78;83;83;85;81;82;87
" ";"Tuyên Quang";82;82;87;76;76;75;75;79;83;80;85;84
" ";"Hà Nội";78;82;88;78;75;75;72;82;83;72;80;75
" ";"Bãi Cháy";72;84;89;84;85;86;80;83;86;82;82;81
" ";"Nam Định";82;87;91;83;79;76;76;79;86;79;84;84
" ";"Vinh";88;92;94;85;72;69;71;77;81;81;87;85
" ";"Huế";89;90;88;87;77;76;81;80;85;90;90;92
" ";"Đà Nẵng";82;84;86;83;75;75;73;78;80;82;84;86
" ";"Qui Nhơn";77;79;84;83;83;73;76;79;78;78;86;84
" ";"Pleiku";75;74;70;70;80;85;89;89;87;83;81;78
" ";"Đà Lạt";81;75;77;82;87;88;87;88;88;87;85;83
" ";"Nha Trang";74;77;77;76;75;73;72;77;78;79;85;81
" ";"Vũng Tàu";77;78;74;75;74;79;80;78;79;79;75;74
" ";"Cà Mau";79;76;75;74;76;84;83;83;86;83;83;78
"2014"
" ";"Lai Châu";76;72;71;76;77;86;86;88;80;79;83;81
" ";"Sơn La";77;72;74;75;75;84;85;86;83;82;85;79
" ";"Tuyên Quang";77;82;87;86;77;82;82;84;83;81;83;76
" ";"Hà Nội";71;79;87;88;77;80;81;82;78;73;79;67
" ";"Bãi Cháy";76;83;92;87;82;84;85;85;83;77;79;70
" ";"Nam Định";79;87;94;90;81;82;83;85;82;79;86;75
" ";"Vinh";84;91;93;90;74;73;75;76;84;87;89;84
" ";"Huế";90;91;91;85;78;72;80;79;84;90;91;94
" ";"Đà Nẵng";82;82;84;83;75;70;78;75;80;84;85;89
" ";"Qui Nhơn";76;80;83;83;80;68;68;71;75;81;80;85
" ";"Pleiku";71;71;68;79;80;88;91;86;87;82;80;79
" ";"Đà Lạt";78;78;78;90;87;88;90;89;91;87;85;88
" ";"Nha Trang";72;78;79;78;77;73;74;78;76;78;80;80
" ";"Vũng Tàu";71;78;76;74;76;82;82;80;80;80;77;75
" ";"Cà Mau";76;78;77;76;81;85;85;82;84;84;85;79
"2013"
" ";"Lai Châu";89;82;69;79;82;84;90;88;84;81;84;81
" ";"Sơn La";84;80;68;75;81;83;89;85;84;79;79;77
" ";"Tuyên Quang";84;85;78;79;79;78;84;83;86;81;79;78
" ";"Hà Nội";82;86;80;81;78;74;82;81;82;73;73;68
" ";"Bãi Cháy";82;89;86;87;86;83;88;86;85;73;76;72
" ";"Nam Định";87;90;87;87;83;79;86;85;88;79;81;76
" ";"Vinh";90;91;89;86;75;71;80;78;86;85;89;82
" ";"Huế";90;90;88;86;79;79;83;80;89;91;93;91
" ";"Đà Nẵng";84;84;86;83;77;72;79;77;85;83;85;80
" ";"Qui Nhơn";79;81;82;84;81;74;76;73;78;79;83;73
" ";"Pleiku";74;71;71;77;80;86;88;90;89;83;79;75
" ";"Đà Lạt";81;76;79;84;86;87;87;87;90;87;85;83
" ";"Nha Trang";74;78;77;78;75;76;78;78;82;80;83;72
" ";"Vũng Tàu";75;73;75;75;75;79;81;80;81;80;79;77
" ";"Cà Mau";78;75;76;79;82;85;85;85;85;85;82;77
"2012"
" ";"Lai Châu";84;79;73;71;81;90;91;85;88;84;87;85
" ";"Sơn La";85;80;72;71;75;80;84;84;85;81;84;81
" ";"Tuyên Quang";86;85;82;78;79;81;82;81;84;80;84;83
" ";"Hà Nội";82;83;82;79;77;74;78;78;76;75;79;79
" ";"Bãi Cháy";89;88;88;85;83;83;85;86;80;79;83;81
" ";"Nam Định";91;91;89;85;84;78;80;84;83;80;86;85
" ";"Vinh";94;92;89;82;76;68;68;76;84;84;87;87
" ";"Huế";95;91;89;83;80;76;74;74;89;88;90;91
" ";"Đà Nẵng";87;85;81;80;75;69;72;72;85;83;86;84
" ";"Qui Nhơn";81;81;78;81;75;60;73;64;77;76;80;76
" ";"Pleiku";76;75;74;78;82;89;89;90;87;79;78;73
" ";"Đà Lạt";81;80;79;85;86;86;87;86;89;82;84;80
" ";"Nha Trang";78;82;79;82;78;77;75;74;78;79;82;78
" ";"Vũng Tàu";77;77;76;79;79;79;81;79;83;78;77;73
" ";"Cà Mau";78;76;78;78;83;82;85;83;88;83;83;78
"2011"
" ";"Lai Châu";78;99;75;78;81;88;84;83;83;79;83;77
" ";"Sơn La";84;80;80;80;79;85;84;83;82;80;82;75
" ";"Tuyên Quang";79;83;83;84;81;82;82;83;84;83;84;75
" ";"Hà Nội";71;83;80;80;76;80;77;80;80;78;76;67
" ";"Bãi Cháy";75;87;85;85;82;86;86;86;82;80;80;71
" ";"Nam Định";75;86;85;84;81;80;79;82;85;84;80;72
" ";"Vinh";87;88;89;86;79;70;74;80;85;88;86;84
" ";"Huế";95;91;92;88;84;79;76;81;89;92;91;96
" ";"Đà Nẵng";83;81;81;82;77;74;70;75;87;86;85;88
" ";"Qui Nhơn";79;78;82;80;77;65;71;70;73;82;81;79
