"Nhiệt độ không khí trung bình các tháng trong năm tại một số trạm quan trắc by Năm, Tỉnh, thành phố and Tháng"

" ";" ";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"2017"
" ";"Lai Châu";14.8;15.1;18.6;20.4;22.3;23.4;22.6;23.4;23.9;21.0;17.0;13.8
" ";"Sơn La";17.1;17.0;21.1;23.0;24.6;26.1;25.2;25.1;25.2;22.0;18.5;15.0
" ";"Tuyên Quang";19.0;19.5;21.4;24.5;27.7;29.2;28.2;28.3;28.4;25.0;21.7;17.2
" ";"Hà Nội";19.7;20.1;21.9;25.1;28.1;30.8;29.4;29.5;29.3;26.0;22.7;18.1
" ";"Bãi Cháy";19.2;18.8;20.8;23.9;26.8;29.1;28.2;28.4;28.3;25.0;21.5;17.5
" ";"Nam Định";19.2;19.4;21.2;24.4;27.1;29.8;28.9;29.1;28.7;25.1;21.8;17.5
" ";"Vinh";19.6;19.4;21.9;25.3;27.5;30.9;29.3;29.9;29.3;25.3;22.0;18.4
" ";"Huế";21.4;20.5;23.5;25.8;27.5;29.4;28.1;28.8;28.1;25.2;22.8;19.9
" ";"Đà Nẵng";23.1;22.6;24.9;26.9;28.6;30.3;28.6;29.7;28.9;26.7;24.9;22.2
" ";"Qui Nhơn";24.6;24.1;25.8;27.3;29.1;30.6;30.0;30.0;29.5;27.7;26.2;24.1
" ";"Pleiku";20.8;20.9;23.0;24.5;24.6;24.0;22.8;23.7;23.8;22.9;22.5;20.0
" ";"Đà Lạt";17.1;16.8;18.4;19.0;20.4;20.2;19.0;19.4;19.6;18.8;18.5;16.7
" ";"Nha Trang";25.3;25.1;26.3;27.5;28.8;29.5;28.9;29.0;28.8;27.6;26.8;25.1
" ";"Vũng Tàu";26.7;26.4;27.5;29.2;29.5;28.8;27.9;28.4;28.8;27.9;27.7;26.7
" ";"Cà Mau";27.3;27.1;27.9;29.3;29.0;28.7;28.0;27.7;28.2;27.5;27.7;26.3
"2016"
" ";"Lai Châu";13.4;12.5;19.2;23.3;24.0;24.1;23.6;23.7;22.8;22.6;18.0;15.2
" ";"Sơn La";15.2;13.9;19.8;25.2;25.6;26.3;25.6;25.6;24.7;24.1;20.0;17.1
" ";"Tuyên Quang";16.7;16.2;20.1;25.7;28.0;30.5;29.6;28.6;28.1;27.1;22.0;19.7
" ";"Hà Nội";17.1;16.9;20.2;25.6;28.8;31.5;30.7;29.6;29.4;28.1;23.3;21.4
" ";"Bãi Cháy";16.4;15.3;19.2;24.6;27.6;29.8;29.0;28.4;28.1;26.9;22.4;20.3
" ";"Nam Định";17.0;16.3;19.7;24.9;28.4;30.7;30.3;29.2;28.5;27.1;22.8;20.5
" ";"Vinh";18.3;16.4;19.9;25.3;28.7;31.6;31.1;29.6;27.8;26.5;22.9;20.4
" ";"Huế";20.9;18.3;22.4;27.3;28.5;29.4;29.2;29.2;27.8;26.6;24.6;21.1
" ";"Đà Nẵng";23.2;21.1;23.4;27.1;28.7;30.1;29.8;30.2;28.6;27.5;25.8;23.2
" ";"Qui Nhơn";25.0;23.2;24.4;26.8;29.4;29.9;30.0;30.7;29.8;28.1;26.5;24.9
" ";"Pleiku";22.1;20.7;23.9;26.6;25.5;24.2;23.6;23.2;23.2;23.3;22.7;21.1
" ";"Đà Lạt";17.7;16.8;19.1;20.2;20.5;19.8;19.4;19.7;19.4;19.0;18.7;17.6
" ";"Nha Trang";25.8;25.0;25.6;27.9;29.7;28.9;29.0;29.8;28.7;27.3;27.0;25.4
" ";"Vũng Tàu";27.6;27.0;27.4;29.6;30.6;28.8;28.9;28.7;28.3;27.4;28.0;26.7
" ";"Cà Mau";27.9;27.3;28.0;30.1;29.9;28.3;28.3;28.4;27.6;27.0;27.9;27.1
"2015"
" ";"Lai Châu";13.7;16.3;21.1;22.0;25.2;24.3;23.6;23.9;23.3;20.9;18.9;14.0
" ";"Sơn La";14.8;17.7;22.5;23.5;27.5;26.5;25.4;25.6;24.9;22.7;21.3;15.7
" ";"Tuyên Quang";17.2;19.2;21.7;25.0;29.8;30.2;29.5;29.1;28.1;25.9;23.6;17.9
" ";"Hà Nội";18.1;19.2;21.6;25.4;30.6;30.9;30.4;29.0;28.5;27.2;24.6;18.5
