"Lưu lượng nước một số sông chính chia theo Trạm, Lưu lượng nước và Năm"

" ";"Cao nhất";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Thấp nhất";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Sông Đà - Trạm Lai Châu";7950.0;7000.0;4580.0;..;8620.0;9060.0;593.0;3630.0;2940.0;3220.0;3500.0;4690.0;5150.0;2820.0;3200.0;238.0;255.0;251.0;..;314.0;121.0;99.0;71.0;362.0;108.0;125.0;89.0;96.0;25.0;26.0
"Sông Đà - Trạm Hoà Bình";10600.0;6990.0;9910.0;8390.0;10200.0;11800.0;8280.0;7490.0;3040.0;3070.0;7320.0;3070.0;4030.0;2840.0;3220.0;432.0;428.0;229.0;176.0;161.0;128.0;229.0;112.0;70.0;69.0;68.0;69.0;15.0;15.0;15.0
"Sông Thao - Trạm Yên Bái";609.0;4660.0;2560.0;7450.0;4390.0;326.0;10800.0;3070.0;3070.0;3310.0;4160.0;5340.0;3400.0;3800.0;6970.0;226.0;166.0;146.0;138.0;142.0;80.0;191.0;135.0;135.0;78.0;117.0;98.0;88.0;89.0;134.0
"Sông Hồng - Trạm Sơn Tây";21000.0;10300.0;14800.0;11500.0;13400.0;14000.0;14500.0;11500.0;9220.0;9220.0;14800.0;13100.0;6810.0;7250.0;9610.0;1080.0;1030.0;867.0;979.0;860.0;810.0;700.0;760.0;485.0;485.0;520.0;640.0;640.0;557.0;667.0
"Sông Hồng - Trạm Hà Nội";13100.0;8160.0;11500.0;8990.0;9900.0;9430.0;10700.0;8240.0;5450.0;5450.0;8540.0;6960.0;6370.0;5730.0;7290.0;793.0;710.0;656.0;515.0;400.0;525.0;377.0;340.0;175.0;118.0;133.0;145.0;58.0;132.0;145.0
"Sông Cầu - Trạm Thái Nguyên";1590.0;1250.0;1300.0;612.0;1580.0;663.0;1070.0;..;1370.0;922.0;850.0;..;..;..;..;9.5;9.2;10.0;10.0;10.0;11.0;11.0;..;12.0;11.0;10.6;..;..;..;..
"Sông Lục Nam - Trạm Chũ";3500.0;4700.0;2120.0;3010.0;1060.0;2180.0;4840.0;630.0;2450.0;2450.0;1500.0;2070.0;2560.0;2640.0;..;..;..;..;..;..;0.0;0.0;3.0;1.0;1.0;..;..;1.0;1.0;..
"Sông Mã - Trạm Xã Là";2580.0;700.0;576.0;..;884.0;700.0;3360.0;1020.0;683.0;..;..;1240.0;1600.0;3250.0;1430.0;26.6;33.3;242.0;..;18.0;33.0;27.0;317.0;30.0;..;..;26.0;25.0;17.0;29.0
"Sông Mã - Trạm Cẩm Thuỷ";2290.0;3320.0;2700.0;4530.0;3050.0;6720.0;4150.0;1720.0;2360.0;2360.0;3390.0;2480.0;1920.0;4250.0;..;89.0;177.0;128.0;78.9;96.0;81.0;109.0;115.0;83.0;83.0;52.0;94.0;75.0;75.0;..
"Sông Cả - Trạm Dừa";3690.0;3980.0;2540.0;5100.0;2910.0;5140.0;4610.0;4470.0;3640.0;3580.0;4890.0;5280.0;2040.0;3020.0;3660.0;63.4;50.7;69.0;73.0;106.0;80.0;106.0;96.0;52.0;51.0;110.0;48.0;65.0;39.0;40.0
"Sông Cả - Trạm Yên Thượng";4490.0;4350.0;3070.0;5460.0;5200.0;5880.0;7760.0;5620.0;5060.0;5010.0;4620.0;5280.0;2160.0;2860.0;3300.0;106.0;102.0;157.0;111.0;105.0;99.0;147.0;90.0;69.0;69.0;135.0;66.0;95.0;26.0;54.0
"Sông Cửu Long - Trạm Tân Châu";24400.0;23100.0;21300.0;..;20700.0;..;..;..;21700.0;..;..;..;..;..;..;-2280.0;-22.1;-3050.0;..;-2830.0;..;..;..;-2980.0;..;..;..;..;..;..
"Sông Cửu Long - Trạm Châu Đốc";6860.0;5730.0;6500.0;6560.0;6490.0;..;..;..;6640.0;..;..;..;..;..;..;-988.0;-959.0;-1140.0;-1240.0;-1210.0;..;..;..;-1370.0;..;..;..;..;..;..

