"Mực nước biển trung bình tại một số trạm quan trắc by Trạm and Năm"

" ";"2013";"2014";"2015";"2016";"2017"
"Cô Tô";198;199;206;209;213
"Cửa Ông";248;249;249;252;256
"Bãi Cháy";216;213;213;215;219
"Hòn Dấu";200;199;199;202;206
"Bạch Long Vĩ";153;153;150;154;155
"Sầm Sơn";195;194;193;193;197
"Hòn Ngư";157;168;168;172;168
"Cồn Cỏ";82;77;77;81;70
"Sơn Trà";101;98;95;102;96
"Quy Nhơn";162;157;153;158;162
"Phú Quý";224;222;219;221;225
"Trường Sa";242;241;237;239;239
"Vũng Tàu";272;266;264;270;275
"Côn Đảo";256;254;252;...;...
"Thổ Chu";89;85;81;...;...
"Phú Quốc";115;94;94;...;...

