"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016 (*)";" ";" "
" ";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)"
"CẢ NƯỚC";330957.6;87860.4;265.5;330951.1;88809.3;268.3;330972.4;89759.5;271.2;330966.9;90728.9;274.0;330966.9;91713.3;277.0;331230.8;92695.1;280.0
"Đồng bằng sông Hồng";21068.1;20066.1;952.4;21050.9;20274.9;963.1;21059.3;20481.9;972.6;21060.0;20705.2;983.0;21060.0;20925.5;994.0;21260.3;21133.8;994.0
"Hà Nội";3328.9;6761.3;2031.1;3323.6;6865.2;2065.6;3324.3;6977.0;2098.8;3324.5;7095.9;2134.0;3324.5;7216.0;2171.0;3358.9;7328.4;2182.0
"Vĩnh Phúc";1236.5;1011.4;818.0;1236.5;1022.4;826.8;1238.6;1029.4;831.1;1237.5;1041.9;842.0;1237.5;1054.5;852.0;1235.3;1066.0;863.0
"Bắc Ninh";822.7;1063.4;1292.6;822.7;1085.8;1319.8;822.7;1108.2;1347.0;822.7;1131.2;1375.0;822.7;1154.7;1404.0;822.8;1178.6;1432.0
"Quảng Ninh";6102.4;1168.0;191.4;6102.3;1177.7;193.0;6102.4;1187.5;194.6;6102.3;1199.4;197.0;6102.3;1211.3;199.0;6177.7;1224.6;198.0
"Hải Dương";1656.0;1729.8;1044.6;1656.0;1741.7;1051.8;1656.0;1751.8;1057.9;1656.0;1763.2;1065.0;1656.0;1774.5;1072.0;1668.3;1785.8;1070.0
"Hải Phòng";1523.4;1879.8;1234.0;1523.9;1904.1;1249.5;1527.4;1925.2;1260.4;1527.4;1946.0;1274.0;1527.4;1963.3;1285.0;1561.7;1980.8;1268.0
"Hưng Yên";926.0;1138.4;1229.4;926.0;1144.1;1235.5;926.0;1151.6;1243.6;926.0;1158.1;1251.0;926.0;1164.4;1257.0;930.3;1170.2;1258.0
"Thái Bình";1570.0;1785.9;1137.5;1570.0;1787.4;1138.5;1570.5;1788.1;1138.6;1570.8;1788.7;1139.0;1570.8;1789.2;1139.0;1586.5;1790.0;1128.0
