"Tỷ số giới tính phân theo thành thị, nông thôn chia theo Tỷ số giới tính, Năm và Phân tổ"

" ";" ";"Tổng số";"Thành thị";"Nông thôn"
"Tỷ số giới tính của dân số (Số nam/100 nữ)"
" ";"2000";96.7;95.0;97.3
" ";"2001";96.7;94.8;97.3
" ";"2002";96.8;95.4;97.1
" ";"2003";96.6;96.2;96.9
" ";"2004";96.7;96.1;97.0
" ";"2005";96.8;96.1;97.2
" ";"2006";96.9;96.4;97.4
" ";"2007";96.9;96.2;97.2
" ";"2008";97.2;96.3;98.2
" ";"2009";97.8;94.4;99.1
" ";"2010";97.8;94.7;99.1
" ";"2011";97.8;94.9;99.3
" ";"2012";97.8;94.8;99.4
" ";"2013";97.7;95.1;99.2
" ";"2014";97.4;94.3;98.8
" ";"2015";97.3;94.5;98.2
" ";"2016";97.5;94.4;98.2
" ";"Sơ bộ 2017";97.5;94.5;98.2
"Tỷ số giới tính của trẻ em mới sinh (Số bé trai/100 bé gái) (*)"
" ";"2000";107.3;113.6;105.5
" ";"2001";109.0;112.5;106.8
" ";"2002";107.0;109.9;106.7
" ";"2003";104.0;99.5;105.0
" ";"2004";108.0;106.1;108.5
" ";"2005";105.6;105.4;105.7
" ";"2006";109.8;109.0;110.0
" ";"2007";111.6;112.7;111.3
" ";"2008";112.1;114.2;111.4
" ";"2009";110.5;110.6;110.5
" ";"2010";111.2;108.9;112.0
" ";"2011";111.9;114.2;111.1
" ";"2012";112.3;116.8;110.4
" ";"2013";113.8;110.3;115.5
" ";"2014";112.2;109.9;113.2
" ";"2015";112.8;114.8;111.9
" ";"2016";112.2;110.4;113.0
" ";"Sơ bộ 2017";112.1;114.4;111.1

"Giai đoạn 1995 - 2003, số liệu của tỉnh Lai Châu bao gồm cả "
"tỉnh Ðiện Biên, tỉnh Ðắk Lắk bao gồm cả tỉnh Ðắk Nông, thành "
"phố Cần Thơ gồm cả tỉnh Hậu Giang. Từ năm 2008 tới nay, số liệu "
"thành phố Hà Nội bao gồm cả tỉnh Hà Tây."

