"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số phân theo thành thị, nông thôn chia theo Thành thị/nông thôn, Năm và Tỷ suất"

" ";" ";"Tỷ suất sinh thô";"Tỷ suất chết thô";"Tỷ lệ tăng tự nhiên"
"TỔNG SỐ"
" ";"2001";18.6;5.1;13.5
" ";"2002";19.0;5.8;13.2
" ";"2003";17.5;5.8;11.7
" ";"2004";19.2;5.4;13.8
" ";"2005";18.6;5.3;13.3
" ";"2006";17.4;5.3;12.1
" ";"2007";16.9;5.3;11.6
" ";"2008";16.7;5.3;11.4
" ";"2009";17.6;6.8;10.8
" ";"2010";17.1;6.8;10.3
" ";"2011";16.6;6.9;9.7
" ";"2012";16.9;7.0;9.9
" ";"2013";17.0;7.1;9.9
" ";"2014";17.2;6.9;10.3
" ";"2015";16.2;6.8;9.4
" ";"Sơ bộ 2016";16.0;6.8;9.2
"Thành thị"
" ";"2001";15.4;3.9;11.6
" ";"2002";16.9;4.5;12.4
" ";"2003";15.0;4.7;10.3
" ";"2004";16.7;4.5;12.2
" ";"2005";15.6;4.2;11.4
" ";"2006";15.3;4.8;10.5
" ";"2007";15.9;4.7;11.2
" ";"2008";15.8;4.8;11.0
" ";"2009";17.3;5.5;11.8
" ";"2010";16.4;5.5;10.9
" ";"2011";15.3;5.8;9.5
" ";"2012";16.0;5.9;10.1
" ";"2013";16.2;6.2;10.0
" ";"2014";16.7;6.0;10.7
" ";"2015";15.3;5.8;9.5
" ";"Sơ bộ 2016";15.5;6.2;9.3
"Nông thôn"
" ";"2001";19.7;5.4;14.2
" ";"2002";19.6;6.3;13.3
" ";"2003";18.9;6.0;12.9
" ";"2004";19.9;5.8;14.1
" ";"2005";19.9;5.8;14.1
" ";"2006";18.2;5.5;12.7
" ";"2007";17.4;5.6;11.8
" ";"2008";17.3;5.5;11.8
" ";"2009";17.8;7.4;10.4
" ";"2010";17.4;7.3;10.1
" ";"2011";17.2;7.4;9.8
" ";"2012";17.4;7.5;9.9
" ";"2013";17.5;7.5;10.0
" ";"2014";17.5;7.2;10.3
" ";"2015";16.7;7.3;9.4
" ";"Sơ bộ 2016";16.2;7.2;9.0

