"Tổng tỷ suất sinh phân theo địa phương chia theo Địa phương và Năm"

" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC";2.11;2.07;2.08;2.03;2.00;1.99;2.05;2.10;2.09;2.10;2.09;2.04
"Đồng bằng sông Hồng";2.06;2.11;2.13;2.11;2.04;2.06;2.11;2.11;2.30;2.23;2.23;2.16
"Hà Nội";1.83;1.91;2.06;2.08;2.00;2.02;2.06;2.03;2.18;2.04;2.06;2.00
"Hà Tây";2.29;2.23;..;..;..;..;..;..;..;..;..;..
"Vĩnh Phúc";2.15;2.00;2.10;2.13;2.06;2.02;2.07;2.11;2.44;2.25;2.48;2.34
"Bắc Ninh";2.40;2.28;2.29;2.32;2.26;2.23;2.71;2.29;2.72;2.72;2.63;2.67
"Quảng Ninh";2.24;2.12;2.12;2.20;1.99;2.07;2.27;2.18;2.49;2.20;2.02;2.25
"Hải Dương";2.10;2.04;2.13;1.99;1.98;2.01;2.07;1.99;2.06;2.00;2.30;1.95
"Hải Phòng";2.13;1.86;1.95;2.16;1.98;2.00;2.37;2.03;2.35;2.02;2.11;1.99
"Hưng Yên";2.32;2.08;2.25;2.11;2.13;2.19;2.10;2.46;2.29;2.40;2.37;2.10
"Thái Bình";2.19;2.21;2.14;2.08;2.10;2.15;1.78;2.07;1.87;2.39;2.25;2.21
"Hà Nam";2.30;2.18;2.12;2.07;2.09;2.16;1.83;1.87;1.99;2.22;2.11;1.97
"Nam Định";2.31;2.39;2.19;2.25;2.20;2.24;1.76;2.32;2.73;2.81;2.46;2.58
"Ninh Bình";2.37;2.26;2.36;2.04;1.88;1.86;2.66;2.28;2.87;2.76;2.94;2.39
"Trung du và miền núi phía Bắc";2.33;2.23;2.30;2.24;2.22;2.21;2.31;2.18;2.56;2.69;2.63;2.53
"Hà Giang";3.06;2.89;2.86;3.08;3.05;2.57;2.78;2.70;2.51;2.93;2.42;2.49
"Cao Bằng";2.55;2.28;2.26;2.18;2.09;2.15;2.13;2.05;2.53;2.52;2.46;2.34
"Bắc Kạn";2.29;2.12;2.07;1.84;1.85;1.91;2.30;2.11;2.07;2.42;2.40;2.37
"Tuyên Quang";2.17;2.05;2.05;2.10;2.07;2.10;2.18;2.35;2.73;2.74;2.72;2.68
"Lào Cai";2.97;2.59;2.69;2.70;2.73;2.57;2.43;2.52;2.36;2.26;2.73;2.24
"Yên Bái";2.55;2.36;2.56;2.38;2.32;2.26;2.38;2.13;2.77;2.76;2.89;2.77
"Thái Nguyên";1.99;1.99;1.95;1.89;1.90;1.96;2.13;2.06;2.45;2.52;2.45;2.09
"Lạng Sơn";2.28;2.14;2.15;1.86;1.84;1.88;2.11;1.86;2.26;2.38;2.34;2.25
"Bắc Giang";2.21;2.07;2.22;1.94;1.86;1.94;2.09;1.77;2.57;2.77;2.64;2.73
"Phú Thọ";2.03;1.99;2.11;2.10;2.08;2.22;2.18;2.22;2.51;2.61;2.56;2.51
"Điện Biên";3.17;2.72;2.72;2.55;2.57;2.67;2.76;2.48;3.11;2.81;2.43;2.84
"Lai Châu";3.52;3.02;3.01;2.96;2.91;2.93;2.60;2.45;3.20;3.11;2.91;2.86
"Sơn La";2.76;2.36;2.29;2.61;2.58;2.43;2.52;2.25;2.57;2.82;2.90;2.77
"Hòa Bình";2.09;2.06;2.01;1.98;1.98;2.03;2.08;1.90;2.30;2.84;2.56;2.30
"Bắc Trung Bộ và duyên hải miền Trung";2.37;2.27;2.30;2.21;2.21;2.21;2.32;2.37;2.31;2.34;2.37;2.31
"Thanh Hóa";2.39;2.12;2.17;1.89;1.89;2.01;2.22;2.11;2.43;2.75;2.70;2.45
"Nghệ An";2.75;2.49;2.52;2.55;2.56;2.49;2.59;2.68;2.70;2.69;2.76;2.87
"Hà Tĩnh";2.38;2.46;2.65;2.46;2.46;2.50;2.75;2.95;3.12;2.65;3.21;3.24
"Quảng Bình";2.58;2.57;2.57;2.37;2.39;2.41;2.61;2.22;2.49;2.52;2.38;2.34
"Quảng Trị";2.90;2.77;2.71;2.85;2.84;2.67;2.65;2.75;2.75;2.94;3.19;2.83
"Thừa Thiên - Huế";2.98;2.79;2.54;2.26;2.28;2.22;2.38;2.21;2.33;2.26;2.20;2.33
"Đà Nẵng";1.87;1.90;1.92;2.14;2.16;1.99;2.18;2.32;2.03;2.13;2.24;1.81
"Quảng Nam";2.40;2.32;2.12;2.30;2.27;2.16;2.35;2.65;2.27;2.17;2.16;2.26
"Quảng Ngãi";2.21;2.11;2.18;2.09;2.11;2.21;2.13;2.45;2.01;1.93;1.98;1.79
"Bình Định";2.25;2.17;2.09;2.22;2.17;2.28;2.26;2.55;2.29;2.14;2.00;2.09
"Phú Yên";2.25;2.18;2.32;1.96;1.98;2.11;2.07;2.04;2.15;2.05;2.26;2.04
"Khánh Hòa";2.12;2.14;2.18;2.04;2.06;1.93;2.04;2.04;1.65;1.75;1.75;1.64
"Ninh Thuận";2.53;2.28;2.24;2.40;2.42;2.38;2.25;2.37;2.18;2.23;2.28;2.34
"Bình Thuận";2.38;2.40;2.38;2.07;2.09;2.14;2.39;2.15;1.57;2.04;1.81;1.75
"Tây Nguyên";3.07;2.77;2.68;2.65;2.63;2.58;2.43;2.49;2.30;2.26;2.37;2.29
"Kon Tum";3.94;3.49;3.58;3.45;3.46;3.25;3.16;2.70;3.04;2.49;2.34;2.48
"Gia Lai";3.10;2.97;2.86;2.88;2.90;2.85;2.36;2.48;2.27;2.45;2.38;2.36
"Đắk Lắk";2.98;2.84;2.57;2.45;2.47;2.42;2.31;2.70;2.25;2.22;2.43;2.19
"Đắk Nông";3.38;3.05;2.87;2.72;2.68;2.57;2.65;2.31;2.46;2.36;2.28;2.21
"Lâm Đồng";2.67;2.37;2.31;2.43;2.28;2.32;2.36;2.24;2.09;1.98;2.34;2.29
"Đông Nam Bộ";1.85;1.74;1.73;1.69;1.68;1.59;1.57;1.83;1.56;1.63;1.46;1.55
"Bình Phước";2.61;2.47;2.38;2.45;2.43;2.31;2.22;2.43;2.30;2.05;1.92;2.02
"Tây Ninh";1.98;1.89;1.79;1.79;1.77;1.80;1.93;1.78;1.76;1.88;1.76;1.66
"Bình Dương";1.66;1.74;1.85;1.70;1.72;1.76;1.70;1.78;1.44;1.59;1.61;1.90
"Đồng Nai";1.92;1.91;1.83;2.07;2.09;1.99;1.80;2.09;1.75;2.02;1.67;1.61
"Bà Rịa - Vũng Tàu";2.06;2.09;2.13;2.01;1.88;1.82;1.70;1.92;1.97;1.56;1.52;1.37
"TP. Hồ Chí Minh";1.52;1.49;1.63;1.45;1.45;1.30;1.33;1.68;1.39;1.45;1.24;1.36
"Đồng bằng sông Cửu Long";2.00;1.87;1.87;1.84;1.80;1.80;1.92;1.92;1.84;1.76;1.84;1.74
"Long An";1.95;1.91;1.95;1.85;1.87;1.83;2.02;2.03;1.66;1.61;1.56;1.62
"Tiền Giang";2.02;1.98;1.97;1.94;1.93;1.92;1.79;1.78;1.75;1.62;2.00;1.99
"Bến Tre";1.76;1.70;1.71;1.81;1.79;1.71;2.20;1.98;1.89;1.97;1.90;1.88
"Trà Vinh";2.03;1.89;1.79;1.86;1.80;1.80;2.06;1.89;1.94;2.04;2.36;2.25
"Vĩnh Long";1.83;1.76;1.75;1.63;1.65;1.63;2.14;2.02;1.98;1.61;2.03;1.67
"Đồng Tháp";1.98;1.77;1.74;1.87;1.89;1.83;1.57;1.89;1.84;1.61;1.59;1.34
"An Giang";2.00;1.86;1.86;1.97;1.97;1.92;2.17;2.07;2.10;1.73;1.84;1.77
"Kiên Giang";2.22;2.10;2.09;1.84;1.80;1.86;2.16;1.98;1.96;2.05;1.94;1.87
"Cần Thơ";1.70;1.64;1.75;1.72;1.62;1.62;1.58;1.81;1.89;1.88;2.01;1.64
"Hậu Giang";1.95;1.94;1.89;1.96;1.75;1.77;1.78;1.78;1.61;1.64;1.48;1.53
"Sóc Trăng";2.02;1.90;2.06;1.79;1.81;1.83;1.85;2.08;1.65;1.72;1.83;1.69
"Bạc Liêu";2.11;2.10;2.00;1.75;1.59;1.69;1.97;1.82;1.82;1.67;1.63;1.77
"Cà Mau";2.10;2.00;2.01;1.75;1.64;1.73;1.62;1.70;1.65;1.80;1.85;1.65

"Từ năm 2008 tới nay, số liệu thành phố Hà Nội bao gồm cả tỉnh "
"Hà Tây."

