"Tỷ suất chết của trẻ em phân theo giới tính và phân theo thành thị, nông thôn chia theo Tỷ suất, Năm và Phân tổ"

" ";" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"Tỷ suất chết của trẻ em dưới một tuổi (Trẻ em dưới một tuổi tử vong/1000 trẻ sinh sống)"
" ";"2001";29.5;32.9;26.0;20.4;32.5
" ";"2002";26.0;29.0;22.8;17.0;28.8
" ";"2003";21.0;23.6;18.3;13.0;21.0
" ";"2004";18.1;20.4;15.7;11.1;20.5
" ";"2005";17.8;20.1;15.4;9.7;20.4
" ";"2006";16.0;18.1;13.8;10.0;18.0
" ";"2007";16.0;18.1;13.8;9.8;18.8
" ";"2008";15.0;17.0;12.9;10.0;15.0
" ";"2009";16.0;18.1;13.8;9.4;18.7
" ";"2010";15.8;17.9;13.6;9.2;18.2
" ";"2011";15.5;17.5;13.4;8.5;18.1
" ";"2012";15.4;17.5;13.3;8.9;18.3
" ";"2013";15.3;17.4;13.2;8.9;18.3
" ";"2014";14.9;16.9;12.9;8.7;17.8
" ";"2015";14.7;16.7;12.7;8.6;17.6
" ";"Sơ bộ 2016";14.5;16.4;12.5;8.5;17.5
"Tỷ suất chết của trẻ em dưới năm tuổi (Trẻ em dưới năm tuổi tử vong/1000 trẻ sinh sống)"
" ";"2001";45.3;56.5;33.4;30.9;50.1
" ";"2002";39.6;49.8;28.8;25.6;44.1
" ";"2003";31.8;40.4;22.6;19.5;31.8
" ";"2004";27.3;35.0;19.0;16.6;31.0
" ";"2005";26.8;34.5;18.7;14.5;30.9
" ";"2006";24.1;31.1;16.6;14.9;27.1
" ";"2007";24.1;31.1;16.6;14.6;28.3
" ";"2008";22.5;29.2;15.4;14.9;22.5
" ";"2009";24.1;31.1;16.6;14.0;28.2
" ";"2010";23.8;30.7;16.3;13.7;27.4
" ";"2011";23.3;30.2;16.0;12.8;27.2
" ";"2012";23.2;30.1;15.9;13.4;27.6
" ";"2013";23.1;29.9;15.8;13.3;27.5
" ";"2014";22.4;29.1;15.4;13.1;26.9
" ";"2015";22.1;28.7;15.1;12.9;26.5
" ";"Sơ bộ 2016";21.8;28.3;14.9;12.9;26.4

