"Tỷ lệ dân số từ 15 tuổi trở lên biết chữ phân theo giới tính và phân theo thành thị, nông thôn chia theo Năm và Phân tổ"

" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"2006";93.6;96.0;91.4;96.9;92.3
"2007";93.8;96.2;91.6;97.0;92.5
"2008";93.6;96.1;91.3;97.0;92.2
"2009";94.0;96.1;92.0;97.3;92.5
"2010";93.7;95.9;91.6;97.0;92.3
"2011";94.2;96.5;92.2;97.3;92.7
"2012";94.7;96.6;92.9;97.5;93.3
"2013";94.8;96.6;93.1;97.6;93.4
"2014";94.7;96.4;93.0;97.5;93.3
"2015";94.9;96.6;93.3;97.6;93.5
"2016";95.0;96.6;93.5;97.7;93.6
"Sơ bộ 2017";95.1;96.7;93.6;97.8;93.6

