"Tuổi kết hôn trung bình lần đầu phân theo giới tính và theo thành thị, nông thôn by Năm and Phân tổ"

" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"2005";25.1;26.8;23.5;26.8;24.5
"2006";24.9;26.6;23.2;26.5;24.3
"2007";25.0;26.6;23.3;26.6;24.3
"2008";24.9;26.6;23.1;26.6;24.2
"2009";24.5;26.2;22.8;26.0;23.9
"2010";24.5;26.2;22.7;26.0;23.8
"2011";24.6;26.4;22.8;26.2;23.9
"2012";24.7;26.6;22.8;26.1;24.0
"2013";24.5;26.4;22.5;25.9;23.8
"2014";24.9;26.8;22.9;26.0;24.3
"2015";24.9;26.9;22.8;26.1;24.3
"2016";25.1;27.2;23.0;26.4;24.5
"Sơ bộ 2017";25.3;27.4;23.1;26.6;24.6

