"Tuổi kết hôn trung bình lần đầu phân theo địa phương by Tỉnh, thành phố and Năm"

" ";"2010";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC";24.5;24.5;24.9;24.9;25.1;25.3
"Đồng bằng sông Hồng";24.3;24.5;24.7;24.7;24.9;25.2
"Hà Nội";24.9;24.9;25.1;25.2;25.3;25.9
"Vĩnh Phúc";23.8;23.7;23.6;23.6;23.7;23.7
"Bắc Ninh";22.7;22.8;23.5;23.4;23.6;23.8
"Quảng Ninh";24.8;24.4;25.1;25.0;25.3;25.8
"Hải Dương";24.3;23.9;24.9;25.2;25.1;24.9
"Hải Phòng";24.5;24.5;24.9;25.1;25.2;25.4
"Hưng Yên";23.5;24.2;23.9;23.6;24.0;24.4
"Thái Bình";24.1;25.1;25.3;24.7;25.5;25.4
"Hà Nam";23.9;25.4;25.4;25.0;25.7;25.2
"Nam Định";23.4;24.7;23.8;23.9;24.2;24.1
"Ninh Bình";24.5;24.0;24.5;24.3;24.2;24.7
"Trung du và miền núi phía Bắc";22.7;22.3;22.7;22.6;22.6;22.7
"Hà Giang";21.4;20.6;21.5;21.3;21.5;21.5
"Cao Bằng";22.4;22.4;22.6;22.3;22.2;22.1
"Bắc Kạn";23.2;22.5;23.3;23.4;23.4;23.4
"Tuyên Quang";23.2;22.3;22.8;22.6;22.6;22.9
"Lào Cai";21.8;21.7;22.1;22.2;22.5;22.1
"Yên Bái";22.2;21.6;22.1;22.4;22.3;22.2
"Thái Nguyên";23.8;23.5;23.9;24.3;24.2;24.5
"Lạng Sơn";23.6;23.7;23.7;23.9;24.1;24.5
"Bắc Giang";23.4;23.4;23.7;23.3;23.6;23.7
"Phú Thọ";23.7;23.5;24.0;23.6;23.6;23.9
"Điện Biên";21.7;21.4;21.6;21.4;21.5;21.3
"Lai Châu";21.1;20.7;20.4;20.3;20.6;20.6
"Sơn La";21.3;20.5;21.2;20.8;20.7;20.8
"Hòa Bình";23.5;23.3;23.4;23.0;22.9;23.0
"Bắc Trung Bộ và duyên hải miền Trung";24.7;24.5;25.4;25.4;25.5;25.6
"Thanh Hóa";23.6;22.8;24.5;23.7;24.1;24.0
"Nghệ An";23.9;24.3;25.2;24.9;24.7;25.0
"Hà Tĩnh";25.0;24.7;25.2;25.1;25.2;25.3
"Quảng Bình";25.9;25.5;25.7;25.8;24.9;26.4
"Quảng Trị";24.9;24.7;25.0;24.9;24.9;25.1
"Thừa Thiên - Huế";26.2;25.6;26.6;26.5;27.3;26.7
"Đà Nẵng";26.5;25.9;26.1;26.2;26.6;26.8
"Quảng Nam";24.6;24.9;25.2;25.5;25.7;25.8
"Quảng Ngãi";24.0;23.8;25.4;25.6;25.9;25.8
"Bình Định";24.2;24.7;25.0;25.9;25.8;25.8
"Phú Yên";24.6;24.7;25.4;25.2;25.4;25.0
"Khánh Hòa";25.8;25.7;26.6;27.0;27.2;27.2
"Ninh Thuận";24.2;24.6;25.2;26.0;26.2;26.0
"Bình Thuận";25.0;25.1;26.2;26.2;26.7;26.5
"Tây Nguyên";23.7;23.8;24.3;24.5;24.6;24.6
"Kon Tum";23.3;23.1;23.5;24.0;24.3;24.8
"Gia Lai";23.0;23.4;23.6;23.3;23.7;23.9
"Đắk Lắk";23.9;24.1;24.7;23.3;25.1;24.7
"Đắk Nông";23.1;24.0;24.0;24.1;24.9;24.2
"Lâm Đồng";24.6;24.0;24.9;25.3;25.1;25.5
"Đông Nam Bộ";25.9;26.1;26.0;26.1;26.7;26.9
"Bình Phước";24.0;24.2;24.2;23.3;25.2;25.3
"Tây Ninh";24.4;24.2;25.0;25.2;25.6;26.2
"Bình Dương";24.8;24.4;24.2;24.4;25.2;24.9
"Đồng Nai";25.9;26.4;26.4;26.4;26.9;27.6
"Bà Rịa - Vũng Tàu";26.0;26.0;26.0;26.8;27.0;27.3
"TP. Hồ Chí Minh";26.6;27.2;26.8;26.7;27.3;27.6
"Đồng bằng sông Cửu Long";24.5;24.5;24.9;25.0;25.2;25.6
"Long An";24.3;23.9;24.7;25.1;25.5;26.0
"Tiền Giang";24.0;24.3;24.4;24.7;24.9;25.0
"Bến Tre";24.3;24.5;25.0;25.3;25.0;25.2
"Trà Vinh";24.3;23.8;24.5;24.5;24.5;24.7
"Vĩnh Long";25.2;24.5;25.5;25.3;25.5;26.1
"Đồng Tháp";24.3;25.5;25.2;25.3;25.6;26.2
"An Giang";24.0;23.9;24.3;24.6;24.7;25.2
"Kiên Giang";24.1;24.2;24.5;24.4;24.9;24.9
"Cần Thơ";25.3;25.5;25.7;25.1;26.3;26.6
"Hậu Giang";24.4;25.0;25.9;25.7;26.3;26.0
"Sóc Trăng";24.7;24.5;25.0;25.7;25.6;25.8
"Bạc Liêu";25.7;25.2;26.0;25.4;25.4;26.2
"Cà Mau";24.8;24.6;24.5;24.6;24.4;24.9

