"Lực lượng lao động từ 15 tuổi trở lên phân theo giới tính và phân theo thành thị, nông thôn chia theo Cách tính, Năm và Phân tổ"

" ";" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"Tổng số (Nghìn người)"
" ";"2000";38545.4;19548.7;18996.7;8910.3;29635.1
" ";"2001";39615.8;20207.9;19407.9;9475.9;30139.9
" ";"2002";40716.0;20718.9;19997.1;9848.5;30867.5
" ";"2003";41846.7;21449.7;20397.0;10104.2;31742.5
" ";"2004";43008.9;21948.3;21060.6;10703.0;32305.9
" ";"2005";44904.5;23493.1;21411.4;11461.4;33443.1
" ";"2006";46238.7;24613.9;21624.8;12266.3;33972.4
" ";"2007";47160.3;23945.7;23214.6;12409.1;34751.2
" ";"2008";48209.6;24709.0;23500.6;13175.3;35034.3
" ";"2009";49322.0;25655.6;23666.4;13271.8;36050.2
" ";"2010";50392.9;25897.0;24495.9;14106.6;36286.3
" ";"2011";51398.4;26468.2;24930.2;15251.9;36146.5
" ";"2012";52348.0;26918.5;25429.5;15885.7;36462.3
" ";"2013";53245.6;27370.6;25875.0;16042.5;37203.1
" ";"2014";53748.0;27560.6;26187.4;16525.5;37222.5
" ";"2015";53984.2;27843.6;26140.6;16910.9;37073.3
" ";"2016";54445.3;28072.8;26372.5;17449.9;36995.4
" ";"Sơ bộ 2017";54823.8;28445.1;26378.7;17647.3;37176.5
"Cơ cấu (%)"
" ";"2000";100.0;50.7;49.3;23.1;76.9
" ";"2001";100.0;51.0;49.0;23.9;76.1
" ";"2002";100.0;50.9;49.1;24.2;75.8
" ";"2003";100.0;51.3;48.7;24.1;75.9
" ";"2004";100.0;51.0;49.0;24.9;75.1
" ";"2005";100.0;52.3;47.7;25.5;74.5
" ";"2006";100.0;53.2;46.8;26.5;73.5
" ";"2007";100.0;50.8;49.2;26.3;73.7
" ";"2008";100.0;51.3;48.7;27.3;72.7
" ";"2009";100.0;52.0;48.0;26.9;73.1
" ";"2010";100.0;51.4;48.6;28.0;72.0
" ";"2011";100.0;51.5;48.5;29.7;70.3
" ";"2012";100.0;51.4;48.6;30.3;69.7
" ";"2013";100.0;51.4;48.6;30.1;69.9
" ";"2014";100.0;51.3;48.7;30.7;69.3
" ";"2015";100.0;51.6;48.4;31.3;68.7
" ";"2016";100.0;51.6;48.4;32.1;67.9
" ";"Sơ bộ 2017";100.0;51.9;48.1;32.2;67.8

