"Lực lượng lao động từ 15 tuổi trở lên phân theo nhóm tuổi chia theo Cách tính, Năm và Nhóm tuổi"

" ";" ";"Tổng số";"15 - 24";"25 - 49";"50+"
"Tổng số (Nghìn người)"
" ";"2000";38545.4;8289.1;25474.1;4782.2
" ";"2001";39615.8;8757.7;26216.7;4641.4
" ";"2002";40716.0;8776.8;26783.9;5155.3
" ";"2003";41846.7;9361.8;26598.3;5886.6
" ";"2004";43008.9;9060.6;27236.0;6712.3
" ";"2005";44904.5;9168.0;28432.5;7304.0
" ";"2006";46238.7;9727.4;29447.7;7063.6
" ";"2007";47160.3;8561.8;29392.1;9206.4
" ";"2008";48209.6;8734.3;29973.4;9501.9
" ";"2009";49322.0;9184.7;30285.1;9852.2
" ";"2010";50392.9;9245.4;30939.2;10208.3
" ";"2011";51398.4;8465.2;31503.4;11429.8
" ";"2012";52348.0;7887.8;32014.5;12445.7
" ";"2013";53245.6;7916.1;31904.5;13425.0
" ";"2014";53748.0;7585.2;32081.0;14081.8
" ";"2015";53984.2;8012.4;31970.3;14001.5
" ";"2016";54445.3;7510.6;32418.3;14516.4
" ";"Sơ bộ 2017";54823.8;7581.1;32599.2;14643.5
"Cơ cấu (%)"
" ";"2000";100.0;21.5;66.1;12.4
" ";"2001";100.0;22.1;66.2;11.7
" ";"2002";100.0;21.6;65.7;12.7
" ";"2003";100.0;22.4;63.5;14.1
" ";"2004";100.0;21.1;63.3;15.6
" ";"2005";100.0;20.4;63.3;16.3
" ";"2006";100.0;21.0;63.7;15.3
" ";"2007";100.0;18.2;62.3;19.5
" ";"2008";100.0;18.1;62.2;19.7
" ";"2009";100.0;18.6;61.4;20.0
" ";"2010";100.0;18.3;61.4;20.3
" ";"2011";100.0;16.5;61.3;22.2
" ";"2012";100.0;15.1;61.1;23.8
" ";"2013";100.0;14.9;59.9;25.2
" ";"2014";100.0;14.1;59.7;26.2
" ";"2015";100.0;14.9;59.2;25.9
" ";"2016";100.0;13.8;59.5;26.7
" ";"Sơ bộ 2017";100.0;13.8;59.5;26.7

