"Lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo thành phần kinh tế (*) chia theo Cách tính, Năm và Thành phần kinh tế"

" ";" ";"Tổng số";"Kinh tế Nhà nước";"Kinh tế ngoài Nhà nước";"Khu vực có vốn đầu tư nước ngoài"
"Tổng số (Nghìn người)"
" ";"2000";37075.3;4358.2;32358.6;358.5
" ";"2001";38180.1;4474.4;33356.6;349.1
" ";"2002";39275.9;4633.5;34216.5;425.9
" ";"2003";40403.9;4919.1;34731.5;753.3
" ";"2004";41578.8;5031.0;35633.0;914.8
" ";"2005";42774.9;4967.4;36694.7;1112.8
" ";"2006";43980.3;4916.0;37742.3;1322.0
" ";"2007";45208.0;4988.4;38657.4;1562.2
" ";"2008";46460.8;5059.3;39707.1;1694.4
" ";"2009";47743.6;5040.6;41178.4;1524.6
" ";"2010";49048.5;5107.4;42214.6;1726.5
" ";"2011";50352.0;5250.6;43401.3;1700.1
" ";"2012";51422.4;5353.7;44365.4;1703.3
" ";"2013";52207.8;5330.4;45091.7;1785.7
" ";"2014";52744.5;5473.5;45214.4;2056.6
" ";"2015";52840.0;4786.3;44902.9;3150.8
" ";"2016";53302.8;4698.6;45016.1;3588.1
" ";"Sơ bộ 2017";53703.4;4595.0;44901.0;4207.4
"Cơ cấu (%)"
" ";"2000";100.0;11.7;87.3;1.0
" ";"2001";100.0;11.7;87.4;0.9
" ";"2002";100.0;11.8;87.1;1.1
" ";"2003";100.0;12.1;86.0;1.9
" ";"2004";100.0;12.1;85.7;2.2
" ";"2005";100.0;11.6;85.8;2.6
" ";"2006";100.0;11.2;85.8;3.0
" ";"2007";100.0;11.0;85.5;3.5
" ";"2008";100.0;10.9;85.5;3.6
" ";"2009";100.0;10.6;86.2;3.2
" ";"2010";100.0;10.4;86.1;3.5
" ";"2011";100.0;10.4;86.2;3.4
" ";"2012";100.0;10.4;86.3;3.3
" ";"2013";100.0;10.2;86.4;3.4
" ";"2014";100.0;10.4;85.7;3.9
" ";"2015";100.0;9.0;85.0;6.0
" ";"2016";100.0;8.8;84.5;6.7
" ";"Sơ bộ 2017";100.0;8.6;83.6;7.8

"(*) Số liệu điều chỉnh sau khi rà soát"

