"Lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo giới tính và phân theo thành thị, nông thôn chia theo Chỉ tiêu, Năm và Phân tổ"

" ";" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"Tổng số - Nghìn người"
" ";"2005";42774.9;21926.4;20848.5;10689.1;32085.8
" ";"2006";43980.3;23339.8;20640.5;11432.0;32548.3
" ";"2007";45208.0;22940.8;22267.2;11698.8;33509.2
" ";"2008";46460.8;23898.6;22562.2;12499.0;33961.8
" ";"2009";47743.6;24800.7;22942.9;12624.5;35119.1
" ";"2010";49048.5;25305.9;23742.6;13531.4;35517.1
" ";"2011";50352.0;26024.7;24327.3;14732.5;35619.5
" ";"2012";51422.4;26499.2;24923.2;15412.0;36010.4
" ";"2013";52207.8;26830.2;25377.6;15509.0;36698.8
" ";"2014";52744.5;27025.8;25718.7;16009.0;36735.5
" ";"2015";52840.0;27216.7;25623.3;16374.8;36465.2
" ";"2016";53302.8;27442.8;25860.0;16923.6;36379.2
" ";"Sơ bộ 2017";53703.4;27813.7;25889.7;17116.7;36586.7
"Tỷ lệ so với tổng dân số - %"
" ";"2005";51.9;54.1;49.8;47.9;53.4
" ";"2006";52.8;56.9;48.8;48.5;54.4
" ";"2007";53.7;55.3;52.1;46.9;56.3
" ";"2008";54.6;57.0;52.3;48.7;57.0
" ";"2009";55.5;58.3;52.7;49.6;58.0
" ";"2010";56.4;58.9;54.0;51.0;58.8
" ";"2011";57.3;59.9;54.8;52.8;59.4
" ";"2012";57.9;60.3;55.6;54.5;59.5
" ";"2013";58.2;60.4;56.1;53.7;60.3
" ";"2014";58.1;60.4;55.9;53.3;60.5
" ";"2015";57.6;60.2;55.1;52.6;60.2
" ";"2016";57.5;60.0;55.0;52.9;59.9
" ";"Sơ bộ 2017";57.4;60.0;54.8;52.0;60.3

