"Lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo nhóm tuổi chia theo Nhóm tuổi và Năm"

" ";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";47743.6;49048.5;50352.0;51422.4;52207.8;52744.5;52840.0;53302.8;53703.4
"15-19";3795.4;3170.9;2924.7;2550.9;2601.5;2395.4;2415.2;2119.5;2195.6
"20-24";5987.0;5422.1;5096.7;4904.8;4826.4;4714.9;5033.7;4832.7;4816.8
"25-29";6728.8;6618.6;6449.4;6258.0;6119.1;6121.1;6082.4;6178.5;6007.0
"30-34";6229.9;6342.2;6301.9;6232.3;6352.2;6514.6;6851.0;6823.0;6705.4
"35-39";5995.6;6225.4;6387.9;6520.9;6449.6;6456.7;6389.8;6471.9;6635.0
"40-44";5494.4;5778.4;6067.1;6412.3;6462.2;6525.2;6348.2;6480.1;6614.6
"45-49";4898.6;5418.4;5835.2;6212.2;6122.7;6085.9;5822.6;5992.3;6194.4
"50+";8613.9;10072.5;11289.2;12331.0;13274.2;13930.7;13897.1;14404.8;14534.6

