"Lao động và cơ cấu lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo ngành kinh tế chia theo Ngành, Phân tổ và Năm"

" ";"Tổng số (Nghìn người)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Cơ cấu (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";42774.9;45208.0;46460.8;47743.6;49048.5;50352.0;51422.4;52207.8;52744.5;52840.0;53302.8;53703.4;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Nông nghiệp, lâm nghiệp và thủy sản";23563.2;23931.5;24303.4;24606.0;24279.0;24362.9;24357.2;24399.3;24408.7;23259.1;22315.2;21564.8;55.1;52.9;52.3;51.5;49.5;48.4;47.4;46.7;46.3;44.0;41.9;40.2
"Khai khoáng";256.5;298.8;291.4;291.5;275.6;279.1;285.5;267.6;253.2;237.6;236.1;210.6;0.6;0.7;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.4;0.4
"Công nghiệp chế biến, chế tạo";5031.2;5665.0;5998.8;6449.0;6645.8;6972.6;7102.2;7267.3;7414.7;8082.8;8866.6;9316.0;11.8;12.5;12.9;13.5;13.5;13.8;13.8;13.9;14.1;15.3;16.6;17.3
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";135.4;121.3;132.7;131.6;130.2;139.7;129.5;133.7;138.6;146.0;158.7;154.9;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";121.0;108.2;94.2;95.4;117.4;106.3;107.8;108.7;109.1;119.8;137.5;133.8;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
"Xây dựng";1979.9;2371.9;2468.4;2594.1;3108.0;3221.1;3271.5;3308.7;3313.4;3431.8;3800.1;4027.7;4.6;5.2;5.3;5.4;6.3;6.4;6.4;6.3;6.3;6.5;7.1;7.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";4593.1;4929.5;5100.4;5150.7;5549.7;5827.6;6313.9;6562.5;6651.6;6709.8;6735.8;6907.6;10.7;10.9;11.0;10.8;11.3;11.6;12.3;12.6;12.6;12.7;12.6;12.9
"Vận tải, kho bãi";1290.4;1341.6;1433.3;1426.1;1416.7;1414.4;1498.3;1531.8;1535.4;1592.3;1614.3;1752.1;3.0;3.0;3.1;3.0;2.9;2.8;2.9;2.9;2.9;3.0;3.0;3.3
