"Lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo nghề nghiệp chia theo Nghề nghiệp và Năm"

" ";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";47743.6;49048.5;50352.0;51422.4;52207.8;52744.5;52840.0;53302.8;53703.4
"Nhà lãnh đạo";460.0;463.7;537.5;532.0;551.0;573.4;570.1;555.0;614.8
"Chuyên môn kỹ thuật bậc cao";2218.9;2498.6;2675.8;2817.7;2968.4;3221.7;3447.8;3659.0;3869.3
"Chuyên môn kỹ thuật bậc trung";1818.3;1786.4;1773.8;1745.0;1698.6;1640.1;1668.0;1639.0;1754.6
"Nhân viên";783.2;707.8;763.7;839.3;881.5;911.1;960.9;991.9;976.9
"Dịch vụ cá nhân, bảo vệ bán hàng";7432.0;7140.9;7543.7;8213.8;8461.8;8492.7;8735.4;8861.4;8968.8
"Nghề trong nông, lâm, ngư nghiệp";7051.3;7589.8;7070.9;6533.2;6280.4;6444.6;5456.6;5470.9;5248.1
"Thợ thủ công và các thợ khác có liên quan";5983.3;6189.2;6064.3;6055.7;6274.5;6312.2;6349.1;6827.0;7052.0
"Thợ lắp ráp và vận hành máy móc, thiết bị";3188.1;3433.9;3509.6;3728.5;3637.4;3888.8;4493.8;4921.6;5154.1
"Nghề giản đơn";18808.6;19130.8;20305.5;20828.9;21326.5;21124.2;21035.1;20247.8;19930.4
"Khác";..;107.4;107.3;128.3;127.7;135.7;123.3;129.2;134.4

