"Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo phân theo nhóm tuổi by Nhóm tuổi and Năm"

" ";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";14.8;14.6;15.4;16.6;17.9;18.2;19.9;20.6;21.4
"15-19";2.2;1.3;1.6;1.9;2.2;1.9;1.6;1.9;1.4
"20-24";16.7;14.8;16.9;19.7;23.0;23.4;26.4;25.9;25.6
"25-29";23.3;23.8;25.2;27.0;29.2;30.1;33.2;35.2;36.4
"30-34";18.0;20.0;21.0;22.6;26.0;26.6;29.8;30.9;31.9
"35-39";13.3;13.9;15.2;17.3;18.6;19.7;22.3;23.8;26.5
"40-44";12.2;12.0;13.0;13.9;14.6;15.0;16.5;17.4;19.2
"45-49";14.2;13.1;13.7;13.7;13.7;14.2;14.5;14.8;15.7
"50+";11.6;11.6;12.2;12.5;13.2;12.8;12.8;15.9;13.1

