"Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo phân theo ngành kinh tế (*) by Ngành kinh tế and Năm"

" ";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";14.8;14.6;15.4;16.6;17.9;18.2;19.9;20.6;21.4
"Nông nghiệp, lâm nghiệp và thủy sản";3.9;2.4;2.7;3.0;3.5;3.6;4.2;4.1;4.2
"Khai khoáng";41.7;33.3;35.0;42.5;42.3;52.5;42.1;50.4;47.4
"Công nghiệp chế biến, chế tạo";14.9;13.4;14.8;16.8;18.3;17.9;17.7;18.5;18.7
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";53.0;67.2;69.5;77.8;76.2;73.1;75.3;78.7;76.1
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";37.4;29.4;33.5;33.2;36.3;40.2;44.7;43.4;45.4
"Xây dựng";12.4;12.6;11.7;12.6;14.1;13.9;14.9;14.0;13.9
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";13.3;13.7;14.3;14.9;16.6;17.5;21.1;21.6;22.5
"Vận tải, kho bãi";41.2;33.6;36.2;43.5;46.4;44.5;55.5;55.2;58.6
"Dịch vụ lưu trú và ăn uống";8.4;8.1;9.0;9.3;10.2;11.7;13.7;13.3;14.6
"Thông tin và truyền thông";61.8;69.8;71.8;72.7;78.5;77.7;75.2;80.8;83.1
"Hoạt động tài chính, ngân hàng và bảo hiểm";67.3;79.3;78.8;78.8;80.2;80.7;82.9;83.1;81.4
"Hoạt động kinh doanh bất động sản";29.3;38.8;33.2;30.8;33.8;32.5;41.9;41.9;41.1
"Hoạt động chuyên môn, khoa học và công nghệ";63.4;65.2;73.0;75.9;73.8;76.9;75.9;81.5;78.8
"Hoạt động hành chính và dịch vụ hỗ trợ";30.2;31.6;35.6;35.3;39.4;36.4;42.1;43.5;42.7
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";63.0;71.8;71.9;74.0;76.6;76.9;80.0;83.0;82.9
"Giáo dục và đào tạo";78.0;90.8;90.3;91.2;91.1;90.8;91.5;92.2;91.3
"Y tế và hoạt động trợ giúp xã hội";76.4;86.8;86.9;86.2;85.5;88.8;89.1;88.0;90.5
"Nghệ thuật, vui chơi và giải trí";14.0;16.6;16.4;19.5;19.0;22.7;22.5;25.4;26.3
"Hoạt động dịch vụ khác";16.2;13.5;15.2;17.0;23.9;21.5;19.0;20.2;22.4
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình";4.2;3.8;2.9;3.6;2.9;2.5;2.7;3.0;3.0
"Hoạt động của các tổ chức và cơ quan quốc tế";85.4;97.2;82.0;81.9;84.7;90.0;88.8;75.1;88.2

"(*) Lao động đã qua đào tạo là những người đã học và tốt nghiệp "
"ở một trường lớp đào tạo chuyên môn kỹ thuật của cấp học hoặc "
"trình độ đào tạo tương đương thuộc Hệ thống giáo dục quốc dân "
"từ 3 tháng trở lên (có văn bằng hoặc chứng chỉ công nhận kết "
"quả đào tạo)."

