"Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo phân theo địa phương (*) by Địa phương and Năm"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC";14.3;14.8;14.6;15.4;16.6;17.9;18.2;19.9;20.6;21.4
"Đồng bằng sông Hồng";18.1;20.9;20.7;21.1;24.0;24.9;25.9;27.5;28.4;25.2
"Hà Nội";23.3;31.1;30.2;30.6;35.3;36.2;38.4;39.4;42.7;42.1
"Vĩnh Phúc";14.5;14.1;14.5;15.1;19.1;20.5;20.7;22.5;19.7;21.5
"Bắc Ninh";16.6;15.7;14.4;18.9;19.3;20.4;21.1;24.2;23.4;26.1
"Quảng Ninh";25.1;32.0;27.8;28.3;32.1;32.5;36.1;35.6;34.2;33.0
"Hải Dương";15.1;14.7;14.1;13.4;14.7;13.4;15.0;18.8;19.1;20.2
"Hải Phòng";23.1;23.3;22.4;23.6;24.0;26.6;27.6;31.8;32.3;32.6
"Hưng Yên";11.5;13.7;13.0;13.2;16.8;17.7;20.0;21.5;21.3;22.2
"Thái Bình";13.9;12.6;15.0;12.6;14.1;13.1;15.0;12.7;13.5;15.2
"Hà Nam";11.1;13.5;13.9;14.9;15.8;16.1;16.3;16.5;16.3;19.9
"Nam Định";12.0;11.9;10.8;11.7;13.3;15.7;11.0;16.4;14.4;18.1
"Ninh Bình";14.9;16.4;19.8;21.7;25.6;27.2;26.1;23.3;27.4;26.6
"Trung du và miền núi phía Bắc";12.2;13.2;13.3;13.6;14.6;15.6;15.6;17.0;17.5;17.1
"Hà Giang";7.6;9.0;10.7;10.8;9.8;9.0;9.6;9.2;9.8;11.9
"Cao Bằng";16.7;15.5;16.7;15.0;19.2;19.3;20.0;19.1;19.8;20.7
"Bắc Kạn";11.1;13.9;12.5;13.8;11.7;11.9;11.9;15.6;14.4;16.1
"Tuyên Quang";14.6;12.4;14.0;11.0;16.0;16.5;18.7;20.4;19.6;15.6
"Lào Cai";9.6;14.0;16.5;13.2;14.1;16.2;15.6;15.7;15.8;18.3
"Yên Bái";11.7;12.4;11.2;13.2;12.2;13.7;13.8;16.9;15.8;16.8
"Thái Nguyên";17.8;18.5;17.0;18.9;20.4;21.5;20.1;25.4;29.4;27.1
"Lạng Sơn";11.0;12.6;12.1;12.4;13.6;16.4;15.8;16.1;15.8;15.5
"Bắc Giang";10.5;12.4;13.6;13.9;13.8;15.5;15.6;16.1;16.5;14.8
"Phú Thọ";14.6;15.2;11.7;13.2;14.4;15.3;14.2;20.3;20.3;21.2
"Điện Biên";10.6;11.6;13.1;13.2;17.1;18.9;19.9;17.9;17.2;14.7
"Lai Châu";7.1;10.0;8.8;10.9;11.4;11.8;13.5;12.3;12.4;15.2
"Sơn La";8.9;10.0;11.4;12.3;12.2;12.0;13.0;12.1;13.2;14.7
"Hòa Bình";11.8;14.2;14.9;15.8;16.8;17.9;15.9;16.6;17.5;16.9
"Bắc Trung Bộ và duyên hải miền Trung";13.1;13.5;12.7;14.4;14.9;15.9;16.4;19.4;20.0;20.6
"Thanh Hóa";11.2;11.9;9.9;17.9;14.4;16.1;14.6;20.7;21.4;19.3
"Nghệ An";12.1;13.6;12.7;12.1;14.4;15.0;15.6;16.8;16.9;20.0
"Hà Tĩnh";12.0;14.6;14.2;12.2;17.8;19.0;20.4;18.4;21.3;22.6
"Quảng Bình";14.3;14.7;15.6;13.8;19.0;18.6;19.7;18.9;18.0;20.5
"Quảng Trị";14.7;15.9;14.6;12.5;16.1;19.2;18.5;22.0;22.6;23.0
"Thừa Thiên - Huế";16.3;15.3;16.9;18.5;20.9;19.6;21.4;22.5;23.9;25.1
"Đà Nẵng";32.4;32.4;32.4;33.2;34.8;35.9;37.5;41.6;40.9;39.0
"Quảng Nam";14.4;11.3;10.4;12.3;9.5;11.1;12.7;15.7;17.9;19.0
"Quảng Ngãi";8.7;9.7;9.6;9.7;10.7;12.4;14.1;17.4;19.4;16.9
"Bình Định";11.4;12.2;9.2;11.6;12.6;15.2;14.1;15.0;15.5;18.9
"Phú Yên";10.7;10.8;10.3;11.0;10.1;10.4;11.8;17.9;16.3;17.5
"Khánh Hòa";17.4;14.6;14.8;14.1;13.7;13.6;16.1;24.7;25.4;17.8
"Ninh Thuận";13.0;14.8;12.4;13.5;14.2;13.8;14.0;15.0;15.4;13.9
"Bình Thuận";10.6;10.8;10.6;9.1;10.6;10.5;12.0;12.9;12.7;15.1
"Tây Nguyên";11.4;10.9;10.4;10.8;12.1;13.1;12.3;13.3;13.1;14.3
"Kon Tum";11.5;13.1;13.2;15.3;13.1;12.8;12.4;17.2;16.0;17.1
"Gia Lai";11.8;9.8;7.4;9.3;10.5;10.4;10.8;10.8;11.2;10.5
"Đắk Lắk";10.5;11.5;12.4;10.4;12.5;14.5;13.2;12.9;13.1;13.3
"Đắk Nông";8.0;7.7;6.2;7.2;8.5;9.4;8.0;10.0;8.7;11.7
"Lâm Đồng";12.2;11.7;11.5;13.0;14.5;16.3;14.7;16.6;16.0;18.8
"Đông Nam Bộ";22.5;19.6;19.5;20.7;21.0;23.5;24.1;25.3;26.2;21.1
"Bình Phước";10.0;12.3;14.8;12.3;13.0;14.5;15.7;12.8;14.1;13.9
"Tây Ninh";9.4;8.8;9.6;9.0;10.2;11.6;11.8;14.7;15.4;12.3
"Bình Dương";13.3;13.3;13.7;15.0;14.3;17.0;18.1;17.4;16.1;16.3
"Đồng Nai";13.0;14.3;11.5;12.3;13.9;16.1;15.0;18.4;20.6;21.9
"Bà Rịa - Vũng Tàu";16.7;18.7;15.6;16.1;21.4;22.5;24.0;23.3;24.4;26.4
"TP. Hồ Chí Minh";31.1;26.1;27.0;29.3;28.5;31.6;32.5;34.1;34.8;35.7
