"Tỷ lệ thiếu việc làm của lực lượng lao động trong độ tuổi phân theo vùng và theo thành thị, nông thôn chia theo Thành thị, nông thôn, Vùng và Năm"

" ";" ";"2010";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC"
" ";"Tổng số";3.57;2.40;1.89;1.66;1.62
" ";"Đồng bằng sông Hồng";3.50;2.44;1.60;1.05;1.20
" ";"Trung du và miền núi phía Bắc";2.15;1.45;1.53;1.53;1.30
" ";"Bắc Trung Bộ và duyên hải miền Trung";4.47;2.58;2.60;2.04;1.76
" ";"Tây Nguyên";3.70;2.49;1.72;2.00;1.56
" ";"Đông Nam Bộ";1.22;0.61;0.50;0.45;0.51
" ";"Đồng bằng sông Cửu Long";5.57;4.20;3.05;3.05;3.24
"Thành thị"
" ";"Tổng số";1.82;1.20;0.84;0.73;0.82
" ";"Đồng bằng sông Hồng";1.58;0.99;0.76;0.57;0.57
" ";"Trung du và miền núi phía Bắc";1.97;1.03;0.96;0.79;0.68
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.88;1.86;1.36;1.19;1.20
" ";"Tây Nguyên";3.37;1.89;0.91;0.58;0.84
" ";"Đông Nam Bộ";0.60;0.30;0.32;0.36;0.45
" ";"Đồng bằng sông Cửu Long";2.84;2.32;1.56;1.33;1.66
"Nông thôn"
" ";"Tổng số";4.26;2.96;2.39;2.12;2.03
" ";"Đồng bằng sông Hồng";4.23;3.18;1.99;1.29;1.55
" ";"Trung du và miền núi phía Bắc";2.18;1.53;1.64;1.67;1.43
" ";"Bắc Trung Bộ và duyên hải miền Trung";4.95;2.89;3.05;2.37;1.98
" ";"Tây Nguyên";3.83;2.75;2.02;2.53;1.84
" ";"Đông Nam Bộ";1.99;1.13;0.82;0.62;0.59
" ";"Đồng bằng sông Cửu Long";6.35;4.89;3.52;3.60;3.75

