"Tỷ lệ thất nghiệp và thiếu việc làm của lực lượng lao động trong độ tuổi phân theo vùng và phân theo thành thị, nông thôn chia theo Năm, Vùng, Tỷ lệ và Thành thị/nông thôn"

" ";" ";"Tỷ lệ thất nghiệp";" ";" ";"Tỷ lệ thiếu việc làm";" ";" "
" ";" ";"Chung";"Thành thị";"Nông thôn";"Chung";"Thành thị";"Nông thôn"
"Sơ bộ 2017"
" ";"CẢ NƯỚC";2.24;3.18;1.78;1.62;0.82;2.03
" ";"Đồng bằng sông Hồng";2.20;3.19;1.64;1.20;0.57;1.55
" ";"Trung du và miền núi phía Bắc";1.01;2.71;0.68;1.30;0.68;1.43
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.54;4.00;1.98;1.76;1.20;1.98
" ";"Tây Nguyên";1.05;1.98;0.70;1.56;0.84;1.84
" ";"Đông Nam Bộ";2.68;2.83;2.43;0.51;0.45;0.59
" ";"Đồng bằng sông Cửu Long";2.88;3.63;2.64;3.24;1.66;3.75
"2016"
" ";"CẢ NƯỚC";2.30;3.23;1.84;1.66;0.73;2.12
" ";"Đồng bằng sông Hồng";2.24;3.23;1.73;1.05;0.57;1.29
" ";"Trung du và miền núi phía Bắc";1.17;3.20;0.77;1.53;0.79;1.67
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.78;4.30;2.17;2.04;1.19;2.37
" ";"Tây Nguyên";1.24;2.19;0.88;2.00;0.58;2.53
" ";"Đông Nam Bộ";2.46;2.61;2.19;0.45;0.36;0.62
" ";"Đồng bằng sông Cửu Long";2.89;3.73;2.62;3.05;1.33;3.60
"2015"
" ";"CẢ NƯỚC";2.33;3.37;1.82;1.89;0.84;2.39
" ";"Đồng bằng sông Hồng";2.42;3.42;1.94;1.60;0.76;1.99
" ";"Trung du và miền núi phía Bắc";1.10;3.11;0.72;1.53;0.96;1.64
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.71;4.51;2.05;2.60;1.36;3.05
" ";"Tây Nguyên";1.03;2.27;0.57;1.72;0.91;2.02
" ";"Đông Nam Bộ";2.74;3.05;2.17;0.50;0.32;0.82
" ";"Đồng bằng sông Cửu Long";2.77;3.22;2.63;3.05;1.56;3.52
"2014"
" ";"CẢ NƯỚC";2.10;3.40;1.49;2.35;1.20;2.90
" ";"Đồng bằng sông Hồng";2.82;4.86;1.87;2.44;0.99;3.12
" ";"Trung du và miền núi phía Bắc";0.76;2.35;0.46;1.45;1.03;1.52
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.23;3.71;1.70;2.58;1.86;2.84
" ";"Tây Nguyên";1.22;1.94;0.93;2.49;1.89;2.73
" ";"Đông Nam Bộ";2.47;3.00;1.60;0.61;0.30;1.11
" ";"Đồng bằng sông Cửu Long";2.06;2.79;1.83;4.20;2.32;4.80
"2013"
" ";"CẢ NƯỚC";2.18;3.59;1.54;2.75;1.48;3.31
" ";"Đồng bằng sông Hồng";2.65;5.13;1.60;2.66;1.33;3.20
" ";"Trung du và miền núi phía Bắc";0.81;2.26;0.54;1.67;1.23;1.75
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.15;3.81;1.58;2.90;2.39;3.07
" ";"Tây Nguyên";1.51;2.07;1.30;2.42;2.09;2.54
" ";"Đông Nam Bộ";2.70;3.34;1.69;0.92;0.43;1.68
" ";"Đồng bằng sông Cửu Long";2.42;2.96;2.24;5.20;2.80;6.00
"2012"
" ";"CẢ NƯỚC";1.96;3.21;1.39;2.74;1.56;3.27
