"Tổng sản phẩm trong nước theo giá so sánh 2010 phân theo khu vực kinh tế chia theo Chỉ tiêu, Năm và Khu vực kinh tế"

" ";" ";"Tổng số";"Nông, lâm nghiệp và thuỷ sản";"Công nghiệp và xây dựng";"Dịch vụ";"Thuế sản phẩm trừ trợ cấp sản phẩm"
"Giá trị (Tỷ đồng)"
" ";"2005";1588646.00;342811.00;605516.00;640319.00;..
" ";"2006";1699501.00;355831.00;649657.00;694013.00;..
" ";"2007";1820667.00;369905.00;697499.00;753263.00;..
" ";"2008";1923749.00;387262.00;726329.00;810158.00;..
" ";"2009";2027591.00;394658.00;769733.00;863200.00;..
" ";"2010";2157828.00;396576.00;693351.00;797155.00;270746.00
" ";"2011";2292483.00;413368.00;746069.00;856691.00;276355.00
" ";"2012";2412778.00;425446.00;801217.00;914177.00;271938.00
" ";"2013";2543596.00;436642.00;841953.00;975592.00;289409.00
" ";"2014";2695796.00;451659.00;896042.00;1035726.00;312369.00
" ";"2015";2875856.00;462536.00;982411.00;1101236.00;329673.00
" ";"2016";3054470.00;468813.00;1056808.00;1178143.00;350706.00
" ";"Sơ bộ 2017";3262548.00;482417.00;1141369.00;1265821.00;372941.00
"Chỉ số phát triển (Năm trước = 100) - %"
" ";"2005";107.55;104.19;108.42;108.59;..
" ";"2006";106.98;103.80;107.29;108.39;..
" ";"2007";107.13;103.96;107.36;108.54;..
" ";"2008";105.66;104.69;104.13;107.55;..
" ";"2009";105.40;101.91;105.98;106.55;..
" ";"2010";106.42;103.29;107.17;107.19;..
" ";"2011";106.24;104.23;107.60;107.47;102.07
" ";"2012";105.25;102.92;107.39;106.71;98.40
" ";"2013";105.42;102.63;105.08;106.72;106.42
" ";"2014";105.98;103.44;106.42;106.16;107.93
" ";"2015";106.68;102.41;109.64;106.33;105.54
" ";"2016";106.21;101.36;107.57;106.98;106.38
" ";"Sơ bộ 2017";106.81;102.90;108.00;107.44;106.34

"(*) Bắt đầu từ năm 2010 giá trị tăng thêm của các khu vực kinh "
"tế được tính theo giá cơ bản."

