"Tổng sản phẩm trong nước theo giá so sánh 2010 phân theo thành phần kinh tế và phân theo ngành kinh tế (Năm trước = 100) (*) by Loại hình, Chỉ tiêu and Năm"

" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Giá trị (Tỷ đồng)"
" ";"TỔNG SỐ";1588646.00;1699501.00;1820667.00;1923749.00;2027591.00;2157828.00;2292483.00;2412778.00;2543596.00;2695796.00;2875856.00;3054470.00;3262548.00
" ";"Thành phần kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"  Kinh tế Nhà nước";565425.00;600305.00;635759.00;663503.00;689981.00;633187.00;663530.00;702017.00;735442.00;765247.00;806361.00;848292.00;884090.00
" ";"  Kinh tế ngoài Nhà nước";781407.00;822739.00;872389.00;923199.00;984363.00;926928.00;1000475.00;1060587.00;1110769.00;1175739.00;1250005.00;1318877.00;1400989.00
" ";"Kinh tế tập thể";98110.00;101554.00;104926.00;108084.00;111164.00;86000.00;90155.00;94103.00;98456.00;102965.00;108344.00;113740.00;118596.00
" ";"Kinh tế tư nhân";132628.00;152323.00;176283.00;195622.00;214069.00;148919.00;161494.00;174441.00;184991.00;197480.00;214112.00;238539.00;266498.00
" ";"Kinh tế cá thể";550669.00;568862.00;591180.00;619493.00;659130.00;692009.00;748826.00;792043.00;827322.00;875294.00;927549.00;966598.00;1015895.00
" ";"  Khu vực có vốn đầu tư nước ngoài";241814.00;276457.00;312518.00;337047.00;353247.00;326967.00;352123.00;378236.00;407976.00;442441.00;489817.00;536595.00;604528.00
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm.";..;..;..;..;..;270746.00;276355.00;271938.00;289409.00;312369.00;329673.00;350706.00;372941.00
" ";"Ngành kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Nông nghiệp, lâm nghiệp và thủy sản";342811.00;355831.00;369905.00;387262.00;394658.00;396576.00;413368.00;425446.00;436642.00;451659.00;462536.00;468813.00;482417.00
" ";"Khai khoáng";212381.00;208134.00;203555.00;195756.00;210666.00;204544.00;210482.00;221298.00;220791.00;225785.00;240462.00;230843.00;214453.00
" ";"Công nghiệp chế biến, chế tạo";248709.00;281925.00;316812.00;347808.00;357415.00;279360.00;318690.00;347523.00;372597.00;400192.00;442612.00;495283.00;566604.00
" ";"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";44794.00;49232.00;53707.00;59112.00;64446.00;65721.00;72442.00;82026.00;88985.00;99516.00;110861.00;123721.00;135351.00
