"Chi ngân sách Nhà nước chia theo Chỉ tiêu, Loại chi và Năm"

" ";" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Sơ bộ 2016";"Ước tính 2017"
"Giá trị (Tỷ đồng)"
" ";"TỔNG CHI";262697.00;399402.00;452766.00;561273.00;648833.00;787554.00;978463.00;1088153.00;1103983.00;1265625.00;1360152.00;1462965.00
" ";"Chi đầu tư phát triển";79199.00;112160.00;119462.00;181363.00;183166.00;208306.00;268812.00;271680.00;248452.00;308853.00;268181.00;365526.00
" ";"Chi phát triển sự nghiệp kinh tế - xã hội";132327.00;211940.00;252375.00;303371.00;376620.00;467017.00;603372.00;704165.00;723292.00;778500.00;836764.00;907111.00
" ";"Chi sự nghiệp giáo dục, đào tạo";28611.00;53774.00;53560.00;69320.00;78206.00;99369.00;127136.00;155603.00;174777.00;177367.00;195635.00;217057.00
" ";"Chi sự nghiệp y tế, dân số và gia đình";7608.00;16426.00;14385.00;19354.00;25130.00;30930.00;39454.00;45872.00;50261.00;49423.00;76217.00;85230.00
" ";"Chi sự nghiệp khoa học, công nghệ (*)";2584.00;7604.00;3191.00;3811.00;4144.00;5758.00;5918.00;6593.00;7027.00;9392.00;10471.00;11263.00
" ";"Chi văn hoá thông tin; phát thanh truyền hình, thông tấn; thể dục thể thao";2099.00;1410.00;2662.00;6080.00;8828.00;8645.00;11372.00;13166.00;13574.00;15539.00;12975.00;14911.00
" ";"Chi đảm bảo xã hội";17747.00;36597.00;37138.00;50266.00;64218.00;78090.00;85671.00;100247.00;106958.00;105295.00;122905.00;131104.00
" ";"Chi sự nghiệp kinh tế, bảo vệ môi trường(**)";11801.00;16145.00;21193.00;27208.00;37632.00;45543.00;56854.00;66231.00;69442.00;79519.00;91545.00;109297.00
" ";"Chi hoạt động của các cơ quan Quản lý nhà nước, Đảng, đoàn thể";18761.00;29214.00;38025.00;40557.00;56129.00;72423.00;89172.00;109093.00;123120.00;132843.00;118169.00;128080.00
" ";"Chi bổ sung quĩ dự trữ tài chính";69.00;185.00;159.00;247.00;275.00;288.00;441.00;253.00;299.00;302.00;100.00;100.00
"Cơ cấu (%)"
" ";"TỔNG CHI";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;..;100.00
" ";"Chi đầu tư phát triển";30.15;28.08;26.38;32.31;28.23;26.45;27.47;24.97;22.51;24.40;19.72;24.99
" ";"Chi phát triển sự nghiệp kinh tế - xã hội";50.37;53.06;55.74;54.05;58.05;59.30;61.67;64.71;65.52;61.51;61.52;62.00
" ";"Chi sự nghiệp giáo dục, đào tạo";10.89;13.46;11.83;12.35;12.05;12.62;12.99;14.30;15.83;14.01;14.38;14.84
" ";"Chi sự nghiệp y tế, dân số và gia đình";2.90;4.11;3.18;3.45;3.87;3.93;4.03;4.22;4.55;3.91;5.60;5.83
" ";"Chi sự nghiệp khoa học, công nghệ (*)";0.98;1.90;0.70;0.68;0.64;0.73;0.60;0.61;0.64;0.74;0.77;0.77
" ";"Chi văn hoá thông tin; phát thanh truyền hình, thông tấn; thể dục thể thao";0.80;0.35;0.59;1.08;1.36;1.10;1.16;1.21;1.23;1.23;0.95;1.02
" ";"Chi đảm bảo xã hội";6.76;9.16;8.20;8.96;9.90;9.92;8.76;9.21;9.69;8.32;9.04;8.96
" ";"Chi sự nghiệp kinh tế, bảo vệ môi trường(**)";4.49;4.04;4.68;4.85;5.80;5.78;5.81;6.09;6.29;6.28;6.73;7.47
" ";"Chi hoạt động của các cơ quan Quản lý nhà nước, Đảng, đoàn thể";7.14;7.31;8.40;7.23;8.65;9.20;9.11;10.03;11.15;10.50;8.69;8.75
" ";"Chi bổ sung quĩ dự trữ tài chính";0.03;0.05;0.04;0.04;0.04;0.04;0.05;0.02;0.03;0.02;0.01;0.01

"(*) Số liệu năm 2010 về trước bao gồm chi sự nghiệp khoa học, "
"công nghệ và bảo vệ môi trường. "
"(**)Số liệu năm 2010 về trước bao gồm chi sự nghiệp kinh tế. "
" "
""

