"Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp by Chỉ tiêu chủ yếu and Năm"

" ";"2010";"2012";"2013";"2014";"2015";"2016"
"Số người tham gia bảo hiểm (Nghìn người) - Bảo hiểm xã hội";9683;10565;11057;11646;12291;13056
"Số người tham gia bảo hiểm (Nghìn người) - Bảo hiểm y tế";52407;58977;61764;64645;68466;75915
"Số người tham gia bảo hiểm (Nghìn người) - Bảo hiểm thất nghiệp";7206;8270;8691;9220;10310;10995
"Số người hưởng BHXH hàng tháng (Nghìn người)";2402;2588;2665;2721;2838;2934
"Số lượt người hưởng BHXH 1 lần (Nghìn lượt người)";806;396;7136;7419;8264;7860
"Số lượt người hưởng BHYT (Nghìn lượt người)";72671;121960;129652;136326;130175;149700
"Số người hưởng BHTN hàng tháng (Người)";36996;611543;582067;517569;545000;1234820
"Số lượt người hưởng trợ cấp BHTN 1 lần, học nghề, tìm việc làm (Lượt người)";7377;23156;43688;45681;59654;36006
"Tổng số thu (Tỷ đồng)";118268;154991;184877;197708;217755;333355
"Tổng số thu (Tỷ đồng) - Bảo hiểm xã hội";86742;103105;121910;131733;148375;245766
"Tổng số thu (Tỷ đồng) - Bảo hiểm y tế";25786;41429;50233;53979;59670;72322
"Tổng số thu (Tỷ đồng)- Bảo hiểm thất nghiệp";5740;10457;12734;11996;9710;15267
"Tổng số chi (Tỷ đồng)";84237;133833;160256;179684;201533;246527
"Tổng số chi (Tỷ đồng) - Bảo hiểm xã hội";64068;98714;117890;131863;147615;167958
"Tổng số chi (Tỷ đồng) - Bảo hiểm y tế";19630;32474;38455;43001;49035;72397
"Tổng số chi (Tỷ đồng) - Bảo hiểm thất nghiệp";539;2645;3911;4820;4883;6172
"Số dư cuối năm (Tỷ đồng)";141023;238871;303734;386873;471813;..
"Số dư cuối năm (Tỷ đồng) - Bảo hiểm xã hội";129082;200463;246682;308075;373350;..
"Số dư cuối năm (Tỷ đồng) - Bảo hiểm y tế";3071;15172;25182;37344;49282;..
"Số dư cuối năm (Tỷ đồng) - Bảo hiểm thất nghiệp";8870;23236;31870;41454;49181;..

