"Vốn đầu tư phát triển toàn xã hội thực hiện theo giá so sánh 2010 phân theo ngành kinh tế by Ngành kinh tế and Năm"

" ";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Tổng số";447135;762843;830278;770087;812714;872124;957630;1044420;1147147;1270594
"Nông nghiệp, lâm nghiệp và thủy sản";31320;47401;51062;46821;42180;50897;48456;59323;67567;76299
"Khai khoáng";36401;65790;62520;57217;55996;54246;51137;41359;39118;40049
"Công nghiệp chế biến, chế tạo";82026;134214;161904;156304;178087;209069;250331;306642;326249;354242
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";49238;72438;70491;61838;63473;52986;60522;67678;72729;83897
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";11639;19872;21504;19021;19749;17355;18674;17024;20190;23519
"Xây dựng";16426;27202;37362;36502;37629;47875;75748;60263;69804;78815
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";21708;32019;40684;40430;52908;64712;58511;67678;77146;86998
"Vận tải, kho bãi";56565;90093;95814;86635;86229;92969;128321;123659;121196;130147
"Dịch vụ lưu trú và ăn uống";7777;16348;17436;17558;22675;22937;16854;21724;26040;31422
"Thông tin và truyền thông";16276;27044;30305;26799;25925;25023;18961;14726;14362;15260
"Hoạt động tài chính, ngân hàng và bảo hiểm";2777;10720;15692;16095;17798;20233;14077;18068;15464;16530
"Hoạt động kinh doanh bất động sản";5561;34275;39023;37349;43074;61049;44912;54101;71754;81356
"Hoạt động chuyên môn, khoa học và công nghệ";4006;8101;9299;9318;11703;14640;19631;17860;19501;20342
"Hoạt động hành chính và dịch vụ hỗ trợ";14979;25032;27897;24566;22837;16989;10055;8355;8259;10165
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";15855;27171;25157;24821;24604;25308;36868;34884;37087;39782
"Giáo dục và đào tạo";15499;24308;23580;22256;25113;21541;32751;33526;39026;41942
"Y tế và hoạt động trợ giúp xã hội";8414;11090;12039;12244;15523;19613;21451;22977;26407;30507
"Nghệ thuật, vui chơi và giải trí";6095;11005;12537;11782;13491;12646;11932;13055;16267;20088
"Hoạt động khác";44574;78722;75972;62531;53720;42036;38439;61518;78981;89234

