"Vốn đầu tư thực hiện của khu vực kinh tế Nhà nước phân theo cấp quản lý by Cách tính, Năm and Cấp quản lý"

" ";" ";"Tổng số";"Trung ương";"Địa phương"
"Giá thực tế (Tỷ đồng)"
" ";"1995";30447.0;16533.0;13914.0
" ";"1996";42894.0;24772.0;18122.0
" ";"1997";53570.0;30055.0;23515.0
" ";"1998";65034.0;36750.0;28284.0
" ";"1999";76958.0;43815.0;33143.0
" ";"2000";89417.0;53503.0;35914.0
" ";"2001";101973.0;56717.0;45256.0
" ";"2002";114738.0;57031.0;57707.0
" ";"2003";126558.0;63870.0;62688.0
" ";"2004";139831.0;70613.0;69218.0
" ";"2005";161635.0;82531.0;79104.0
" ";"2006";185102.0;93902.0;91200.0
" ";"2007";197989.0;95483.0;102506.0
" ";"2008";209031.0;103328.0;105703.0
" ";"2009";287534.0;143241.0;144293.0
" ";"2010";316285.0;151817.0;164468.0
" ";"2011";341555.0;148580.0;192975.0
" ";"2012";406514.0;175004.0;231510.0
" ";"2013";441924.0;186711.0;255213.0
" ";"2014";486804.0;215101.0;271703.0
" ";"2015";519878.0;249022.0;270856.0
" ";"2016";557633.0;268221.0;289412.0
" ";"Sơ bộ 2017";594885.0;281381.0;313504.0
"Cơ cấu(%)"
" ";"1995";100.0;54.3;45.7
" ";"1996";100.0;57.8;42.2
" ";"1997";100.0;56.1;43.9
" ";"1998";100.0;56.5;43.5
" ";"1999";100.0;56.9;43.1
" ";"2000";100.0;59.8;40.2
" ";"2001";100.0;55.6;44.4
" ";"2002";100.0;49.7;50.3
" ";"2003";100.0;50.5;49.5
" ";"2004";100.0;50.5;49.5
" ";"2005";100.0;51.1;48.9
" ";"2006";100.0;50.7;49.3
" ";"2007";100.0;48.2;51.8
" ";"2008";100.0;49.4;50.6
" ";"2009";100.0;49.8;50.2
" ";"2010";100.0;48.0;52.0
" ";"2011";100.0;43.5;56.5
" ";"2012";100.0;43.1;56.9
" ";"2013";100.0;42.2;57.8
" ";"2014";100.0;44.2;55.8
" ";"2015";100.0;47.9;52.1
" ";"2016";100.0;48.1;51.9
" ";"Sơ bộ 2017";100.0;47.3;52.7
"Gía so sánh 2010 (Tỷ đồng )"
" ";"1995";..;..;..
" ";"1996";..;..;..
" ";"1997";..;..;..
" ";"1998";..;..;..
" ";"1999";..;..;..
" ";"2000";..;..;..
" ";"2001";..;..;..
" ";"2002";..;..;..
" ";"2003";..;..;..
" ";"2004";..;..;..
" ";"2005";233948.0;120433.0;113515.0
" ";"2006";255831.0;130022.0;125809.0
" ";"2007";268148.0;131950.0;136198.0
" ";"2008";259866.0;129783.0;130083.0
" ";"2009";318498.0;161083.0;157415.0
" ";"2010";316285.0;150235.0;166050.0
" ";"2011";287242.0;124307.0;162935.0
" ";"2012";325918.0;138707.0;187211.0
" ";"2013";351005.0;146312.0;204693.0
" ";"2014";379694.0;166501.0;213193.0
" ";"2015";397324.0;188729.0;208595.0
" ";"2016";430331.0;206129.0;224202.0
" ";"Sơ bộ 2017";451946.0;212867.0;239079.0
"Chỉ số phát triển (Năm trước = 100)-%"
" ";"1995";..;..;..
" ";"1996";..;..;..
" ";"1997";..;..;..
" ";"1998";..;..;..
" ";"1999";..;..;..
" ";"2000";..;..;..
" ";"2001";..;..;..
" ";"2002";..;..;..
" ";"2003";..;..;..
" ";"2004";..;..;..
" ";"2005";110.2;112.2;108.1
" ";"2006";109.4;108.0;110.8
" ";"2007";104.8;101.5;108.3
" ";"2008";96.9;98.4;95.5
" ";"2009";122.6;124.1;121.0
" ";"2010";99.3;93.3;105.5
" ";"2011";90.8;82.7;98.1
" ";"2012";113.5;111.6;114.9
" ";"2013";107.7;105.5;109.3
" ";"2014";108.2;113.8;104.2
" ";"2015";104.6;113.4;97.8
" ";"2016";108.3;109.2;107.5
" ";"Sơ bộ 2017";105.0;103.3;106.6

