"Vốn đầu tư thực hiện của khu vực kinh tế Nhà nước phân theo nguồn vốn chia theo Cách tính, Năm và Nguồn vốn"

" ";" ";"Tổng số";"Vốn ngân sách Nhà nước";"Vốn vay";"Vốn của các doanh nghiệp Nhà nước và nguồn vốn khác"
"Giá thực tế (Tỷ đồng)"
" ";"1995";30447.0;13575.0;6064.0;10808.0
" ";"1996";42894.0;19544.0;8280.0;15070.0
" ";"1997";53570.0;23570.0;12700.0;17300.0
" ";"1998";65034.0;26300.0;18400.0;20334.0
" ";"1999";76958.0;31763.0;24693.0;20502.0
" ";"2000";89417.0;39006.0;27774.0;22637.0
" ";"2001";101973.0;45594.0;28723.0;27656.0
" ";"2002";114738.0;50210.0;34937.0;29591.0
" ";"2003";126558.0;56992.0;38988.0;30578.0
" ";"2004";139831.0;69207.0;35634.0;34990.0
" ";"2005";161635.0;87932.0;35975.0;37728.0
" ";"2006";185102.0;100201.0;26837.0;58064.0
" ";"2007";197989.0;107328.0;30504.0;60157.0
" ";"2008";209031.0;129203.0;28124.0;51704.0
" ";"2009";287534.0;184941.0;40418.0;62175.0
" ";"2010";316285.0;141709.0;115864.0;58712.0
" ";"2011";341555.0;177977.0;114085.0;49493.0
" ";"2012";406514.0;205022.0;149516.0;51976.0
" ";"2013";441924.0;207152.0;162486.0;72286.0
" ";"2014";486804.0;207704.0;198202.0;80898.0
" ";"2015";519878.0;233378.0;201000.0;85500.0
" ";"2016";557633.0;270883.0;202052.0;84698.0
" ";"Sơ bộ 2017";594885.0;290135.0;210549.0;94201.0
"Cơ cấu(%)"
" ";"1995";100.0;44.6;19.9;35.5
" ";"1996";100.0;45.6;19.3;35.1
" ";"1997";100.0;44.0;23.7;32.3
" ";"1998";100.0;40.4;28.3;31.3
" ";"1999";100.0;41.3;32.1;26.6
" ";"2000";100.0;43.6;31.1;25.3
" ";"2001";100.0;44.7;28.2;27.1
" ";"2002";100.0;43.8;30.4;25.8
" ";"2003";100.0;45.0;30.8;24.2
" ";"2004";100.0;49.5;25.5;25.0
" ";"2005";100.0;54.4;22.3;23.3
" ";"2006";100.0;54.1;14.5;31.4
" ";"2007";100.0;54.2;15.4;30.4
" ";"2008";100.0;61.8;13.5;24.7
" ";"2009";100.0;64.3;14.1;21.6
" ";"2010";100.0;44.8;36.6;18.6
" ";"2011";100.0;52.1;33.4;14.5
" ";"2012";100.0;50.4;36.8;12.8
" ";"2013";100.0;46.9;36.8;16.3
" ";"2014";100.0;42.7;40.7;16.6
" ";"2015";100.0;44.9;38.7;16.4
" ";"2016";100.0;48.6;36.2;15.2
" ";"Sơ bộ 2017";100.0;48.8;35.4;15.8
"Gía so sánh 2010 (Tỷ đồng)"
" ";"1995";..;..;..;..
" ";"1996";..;..;..;..
" ";"1997";..;..;..;..
" ";"1998";..;..;..;..
" ";"1999";..;..;..;..
" ";"2000";..;..;..;..
" ";"2001";..;..;..;..
" ";"2002";..;..;..;..
" ";"2003";..;..;..;..
" ";"2004";..;..;..;..
" ";"2005";233948.0;121653.0;56381.0;55914.0
" ";"2006";255831.0;138067.0;39664.0;78100.0
" ";"2007";268148.0;142655.0;45317.0;80176.0
" ";"2008";259866.0;153952.0;41104.0;64810.0
" ";"2009";318498.0;194602.0;53826.0;70070.0
" ";"2010";316285.0;141709.0;115864.0;58712.0
" ";"2011";287242.0;150214.0;95823.0;41205.0
" ";"2012";325918.0;163903.0;120017.0;41998.0
" ";"2013";351005.0;164004.0;129212.0;57789.0
" ";"2014";379694.0;160932.0;155003.0;63759.0
" ";"2015";397324.0;178350.0;153622.0;65352.0
" ";"2016";430331.0;209159.0;155818.0;65354.0
" ";"Sơ bộ 2017";451946.0;219742.0;160286.0;71918.0
"Chỉ số phát triển (Năm trước = 100)-%"
" ";"1995";..;..;..;..
" ";"1996";..;..;..;..
" ";"1997";..;..;..;..
" ";"1998";..;..;..;..
" ";"1999";..;..;..;..
" ";"2000";..;..;..;..
" ";"2001";..;..;..;..
" ";"2002";..;..;..;..
" ";"2003";..;..;..;..
" ";"2004";..;..;..;..
" ";"2005";110.2;117.5;101.0;105.4
" ";"2006";109.4;113.5;70.3;139.7
" ";"2007";104.8;103.3;114.3;102.7
" ";"2008";96.9;107.9;90.7;80.8
" ";"2009";122.6;126.4;131.0;108.1
" ";"2010";99.3;72.8;215.3;83.8
" ";"2011";90.8;106.0;82.7;70.2
" ";"2012";113.5;109.1;125.2;101.9
" ";"2013";107.7;100.1;107.7;137.6
" ";"2014";108.2;98.1;120.0;110.3
" ";"2015";104.6;110.8;99.1;102.5
" ";"2016";108.3;117.3;101.4;100.0
" ";"Sơ bộ 2017";105.0;105.1;102.9;110.0

