"Vốn đầu tư thực hiện của khu vực kinh tế Nhà nước theo giá so sánh 2010 phân theo ngành kinh tế chia theo Ngành kinh tế và Năm"

" ";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Tổng số";233948;318498;316285;287242;325918;351005;379694;397324;430331;451946
"Nông nghiệp, lâm nghiệp và thủy sản";16710;19238;18534;16402;17697;23658;23998;25349;31565;33476
"Khai khoáng";19720;21206;20590;17493;19848;21341;20125;17005;18009;18543
"Công nghiệp chế biến, chế tạo";21596;28574;30110;28207;39598;37136;26960;27813;32210;34461
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";33709;51135;47462;41248;44037;45034;50046;55529;66529;68176
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";9078;12358;12209;10542;10494;12249;16100;16092;16998;19447
"Xây dựng";9835;14234;16257;15166;18838;28642;24074;24833;26057;27139
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";2252;6743;7559;7037;10537;9021;5392;8542;7324;8144
"Vận tải, kho bãi";49163;56781;57216;50382;50256;56301;77732;87650;81135;83454
"Dịch vụ lưu trú và ăn uống";989;4063;3859;3849;5117;5230;2658;3179;3443;4077
"Thông tin và truyền thông";13030;17740;17712;15367;17515;14286;11619;10251;10767;10856
"Hoạt động tài chính, ngân hàng và bảo hiểm";1040;4588;4713;4912;6095;5441;6873;7549;7750;8235
"Hoạt động kinh doanh bất động sản";2338;6435;6863;7210;9102;10916;6113;8980;9906;10539
"Hoạt động chuyên môn, khoa học và công nghệ";3079;5950;6009;5946;6594;5897;13404;12039;12932;13572
"Hoạt động hành chính và dịch vụ hỗ trợ";3814;5191;5472;4510;4661;4107;1936;1788;1807;1586
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";15855;27171;25157;24821;24604;25308;36868;34884;37087;39782
"Giáo dục và đào tạo";12721;11558;12493;11748;17241;19727;27278;26819;30166;31207
"Y tế và hoạt động trợ giúp xã hội";7884;8797;8540;8241;9084;11934;15264;15853;22614;24428
"Nghệ thuật, vui chơi và giải trí";4937;7937;7654;7497;6873;6143;9227;7986;9338;9943
"Hoạt động khác";6198;8798;7876;6664;7727;8635;4027;5183;4694;4881

