"Đầu tư trực tiếp của nước ngoài được cấp giấy phép phân theo ngành kinh tế (Luỹ kế các dự án còn hiệu lực đến ngày 31/12/2017) by Ngành kinh tế and Phân tổ"

" ";"Số dự án";"Vốn đăng ký                   (Triệu đô la Mỹ) (*)"
"Tổng số";24803.0;319613.1
"Nông nghiệp, lâm nghiệp và thủy sản";511.0;3521.2
"Khai khoáng";105.0;4876.0
"Công nghiệp chế biến, chế tạo";12460.0;186514.2
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";115.0;20820.9
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";68.0;2338.5
"Xây dựng";1481.0;10846.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";2805.0;6200.0
"Vận tải, kho bãi";666.0;4646.7
"Dịch vụ lưu trú và ăn uống";644.0;12004.2
"Thông tin và truyền thông";1653.0;3336.5
"Hoạt động tài chính, ngân hàng và bảo hiểm";81.0;1487.8
"Hoạt động kinh doanh bất động sản";639.0;53226.0
"Hoạt động chuyên môn, khoa học và công nghệ";2478.0;3096.3
"Hoạt động hành chính và dịch vụ hỗ trợ";298.0;527.1
"Giáo dục và đào tạo";376.0;759.9
"Y tế và hoạt động trợ giúp xã hội";134.0;1867.0
"Nghệ thuật, vui chơi và giải trí";133.0;2781.6
"Hoạt động dịch vụ khác";156.0;762.8

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

