"Đầu tư trực tiếp của nước ngoài được cấp giấy phép phân theo đối tác đầu tư chủ yếu (Luỹ kế các dự án còn hiệu lực đến ngày 31/12/2017) by Đối tác đầu tư and Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ) (*)"
"TỔNG SỐ";24803.0;319613.1
"Trong đó";..;..
"Hàn Quốc";6549.0;57861.7
"Nhật Bản";3607.0;49307.3
"Xin-ga-po";1973.0;42540.7
"Đài Loan";2534.0;30867.2
"Quần đảo Virgin thuộc Anh";744.0;22535.2
"Đặc khu hành chính Hồng Công (TQ)";1284.0;17933.5
"Ma-lai-xi-a";572.0;12274.9
"CHND Trung Hoa";1817.0;12023.0
"Hoa Kỳ";861.0;9894.1
"Thái Lan";489.0;9288.7
"Hà Lan";306.0;8177.1
"Xa-moa";238.0;7294.6
"Quần đảo Cay men";103.0;6977.0
"Ca-na-đa";160.0;5090.7
"Vương quốc Anh";318.0;3464.7
"Pháp";513.0;2786.6
"Lúc-xăm-bua";45.0;2336.6
"Thụy Sỹ";131.0;1841.6
"Ôx-trây-li-a";410.0;1808.7
"CHLB Đức";293.0;1759.5
"Bru-nây";196.0;1163.3
"Liên bang Nga";115.0;982.7
"Síp";17.0;975.4
"Tây Ấn thuộc Anh";15.0;971.5
"CH Xây-sen";121.0;921.2
"Bỉ";63.0;914.0
"Đan Mạch";130.0;883.4
"Ấn Độ";168.0;760.6
"Thổ Nhĩ Kỳ";18.0;708.2
"In-đô-nê-xi-a";69.0;477.0
"I-ta-li-a";87.0;388.7
"Vương quốc Ô man";5.0;337.0
"Ma-ri-ti-us";48.0;337.0
"Phi-li-pin";73.0;319.2
"Bơ-mu-đa";9.0;318.4
"Xlô-va-ki-a";10.0;197.3
"Ba Lan";14.0;182.9
"Bê-li-xê";22.0;175.4
"Quần đảo Cúc";2.0;172.0
"Quần đảo Marshall";7.0;171.1
"Áo";30.0;139.0
"Vương quốc Ba-ranh";1.0;123.5
"Quần đảo Ba-ha-mas";3.0;108.7
"Thụy Điển";57.0;103.3
"Niu-di-lân";29.0;102.4
"Na Uy";38.0;95.3
"Lào";9.0;92.5
"Tây Ban Nha";64.0;90.8
"Cộng hòa Séc";36.0;90.1
"Đặc khu HC Ma-cao";13.0;83.5
"Xri Lan-ca";15.0;77.8
"Ăng-gô-la";4.0;74.5
"Quần đảo Cha-nen";11.0;74.5
"Đảo Anguilla";8.0;70.7
"I-xra-ren";27.0;69.4
"Bác-ba-đốt";3.0;68.4
"Cam-pu-chia";19.0;64.9
"Hung-ga-ry";17.0;63.6
"Ê-cu-a-đo";4.0;56.7
"Xanh Vin-xen và Grê-na-đin";4.0;47.6
"Xoa-di-len";1.0;45.0
"Liên bang Xanh Kit và Nêvit";2.0;39.7
"Lích-tên-xtanh";2.0;35.6
"Đảo Man";2.0;35.1
"Pa-na-ma";10.0;31.0
"Bun-ga-ri";8.0;30.8
"U-crai-na";23.0;29.5
"Pa-ki-xtan";32.0;28.8
"Irắc";5.0;27.2
"Tiểu VQ A-rập Thống nhất";15.0;26.6
"Phần Lan";18.0;22.6

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

