"Đầu tư trực tiếp của nước ngoài được cấp giấy phép phân theo địa phương (Luỹ kế các dự án còn hiệu lực đến ngày 31/12/2017) by Tỉnh, thành phố and Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"CẢ NƯỚC";24803.0;319613.1
"Đồng bằng sông Hồng";7896.0;88445.2
"Hà Nội";4500.0;27638.0
"Vĩnh Phúc";312.0;4038.1
"Bắc Ninh";1138.0;16178.4
"Quảng Ninh";119.0;5864.1
"Hải Dương";385.0;7847.1
"Hải Phòng";606.0;15208.8
"Hưng Yên";396.0;4242.4
"Thái Bình";75.0;605.7
"Hà Nam";215.0;2437.6
"Nam Định";91.0;3118.7
"Ninh Bình";59.0;1266.3
"Trung du và miền núi phía Bắc";826.0;15124.6
"Hà Giang";9.0;11.1
"Cao Bằng";27.0;79.9
"Bắc Kạn";3.0;13.0
"Tuyên Quang";8.0;161.8
"Lào Cai";30.0;580.6
"Yên Bái";21.0;435.8
"Thái Nguyên";130.0;7331.4
"Lạng Sơn";40.0;226.3
"Bắc Giang";357.0;4483.5
"Phú Thọ";136.0;1084.8
"Điện Biên";1.0;3.0
"Lai Châu";3.0;4.0
"Sơn La";11.0;148.2
"Hoà Bình";50.0;561.2
"Bắc Trung Bộ và Duyên hải miền Trung";1511.0;56860.2
"Thanh Hoá";102.0;13819.0
"Nghệ An";79.0;1820.9
"Hà Tĩnh";62.0;11613.2
"Quảng Bình";19.0;537.8
"Quảng Trị";16.0;60.5
"Thừa Thiên Huế";99.0;2382.3
"Đà Nẵng";526.0;4675.3
"Quảng Nam";170.0;5816.3
"Quảng Ngãi";46.0;1449.6
"Bình Định";73.0;671.8
"Phú Yên";44.0;4969.0
"Khánh Hoà";99.0;4175.1
"Ninh Thuận";40.0;1302.5
"Bình Thuận";136.0;3566.8
"Tây Nguyên";147.0;910.0
"Kon Tum";8.0;82.3
"Gia Lai";5.0;12.2
"Đắk Lắk";15.0;194.0
"Đắk Nông";11.0;95.6
"Lâm Đồng";108.0;525.9
"Đông Nam Bộ";12946.0;135418.9
"Bình Phước";202.0;1960.8
"Tây Ninh";271.0;5052.1
"Bình Dương";3305.0;30339.0
"Đồng Nai";1472.0;27349.6
"Bà Rịa - Vũng Tàu";363.0;26838.1
"TP.Hồ Chí Minh";7333.0;43879.3
"Đồng bằng sông Cửu Long";1426.0;20085.0
"Long An";962.0;6970.7
"Tiền Giang";104.0;2201.6
"Bến Tre";59.0;865.3
"Trà Vinh";37.0;3080.5
"Vĩnh Long";38.0;552.6
"Đồng Tháp";21.0;169.4
"An Giang";25.0;198.2
"Kiên Giang";48.0;4371.3
"Cần Thơ";76.0;643.6
"Hậu Giang";21.0;793.6
"Sóc Trăng";13.0;126.3
"Bạc Liêu";11.0;71.5
"Cà Mau";11.0;40.3
"Dầu khí";51.0;2769.1

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

