"Đầu tư trực tiếp của nước ngoài được cấp giấy phép năm 2017 phân theo ngành kinh tế chia theo Ngành kinh tế và Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"Tổng số";2741.0;37100.6
"Nông nghiệp, lâm nghiệp và thủy sản";17.0;191.6
"Khai khoáng";3.0;1292.7
"Công nghiệp chế biến, chế tạo";968.0;16437.6
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";13.0;8374.1
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";13.0;887.5
"Xây dựng";128.0;1260.4
"Bán buôn và bán lẻ; sử chữa ô tô, mô tô, xe máy và xe có động cơ khác";619.0;2213.1
"Vận tải, kho bãi";82.0;450.4
"Dịch vụ lưu trú và ăn uống";113.0;534.1
"Thông tin và truyền thông";197.0;239.8
"Hoạt động tài chính, ngân hàng và bảo hiểm";3.0;245.8
"Hoạt động kinh doanh bất động sản";74.0;3107.5
"Hoạt động chuyên môn, khoa học và công nghệ";342.0;1155.2
"Hoạt động hành chính và dịch vụ hỗ trợ";67.0;110.8
"Giáo dục và đào tạo";69.0;122.3
"Y tế và hoạt động trợ giúp xã hội";16.0;389.4
"Nghệ thuật, vui chơi và giải trí";8.0;39.1
"Hoạt động dịch vụ khác";9.0;49.2

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

