"Đầu tư trực tiếp của nước ngoài được cấp giấy phép năm 2017 phân theo đối tác đầu tư chủ yếu chia theo Đối tác đầu tư và Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"TỔNG SỐ";2741.0;37100.6
"Trong đó:";..;..
"Nhật Bản";397.0;9204.7
"Hàn Quốc";895.0;8720.0
"Xin-ga-po";194.0;5894.9
"CHND Trung Hoa";295.0;2137.6
"Quần đảo Virgin thuộc Anh";44.0;1650.8
"Đặc khu hành chính Hồng Công (TQ)";145.0;1566.6
"Đài Loan";117.0;1532.7
"Hoa Kỳ";80.0;874.4
"Hà Lan";39.0;822.5
"Thái Lan";52.0;624.9
"Xa-moa";39.0;574.2
"CHLB Đức";33.0;413.9
"Quần đảo Cay men";8.0;411.4
"Bỉ";4.0;375.1
"Vương quốc Ô man";3.0;327.0
"Ma-lai-xi-a";30.0;297.7
"Vương quốc Anh";40.0;244.9
"Ấn Độ";44.0;187.6
"CH Xây-sen";29.0;180.4
"Ôx-trây-li-a";36.0;153.5
"Pháp";48.0;109.3
"Quốc đảo Marshall";..;100.1
"Đan Mạch";5.0;69.6
"Bru-nây";2.0;55.5
"Ca-na-đa";8.0;46.4
"In-đô-nê-xi-a";14.0;45.8
"Thụy Sỹ";6.0;44.7
"Liên bang Nga";9.0;43.7
"Bê-li-xê";4.0;36.5
"Ba Lan";1.0;36.4
"Ăng-go-la";..;33.3
"Phi-li-pin";2.0;30.0
"Đảo An-gui-la";3.0;30.0
"I-xra-ren";4.0;22.0
"Tây Ấn thuộc Anh";1.0;21.8
"I-ta-li-a";8.0;19.9
"Lúc-xăm-bua";4.0;18.9
"Thụy Điển";6.0;18.2
"Xlô-va-ki-a";2.0;16.2
"Ma-ri-ti-us";1.0;15.4
"Hung-ga-ry";3.0;14.3
"Bơ-mu-đa";1.0;11.0
"Xanh Vin-xen và Grê-na-đin";..;10.1
"Đặc khu HC Ma-cao (TQ)";1.0;9.0
"Tây Ban Nha";10.0;6.6
"Cam-pu-chia";1.0;6.4
"Thổ Nhĩ Kỳ";4.0;6.2
"Na Uy";4.0;4.3
"Ni-giê-ri-a";3.0;3.5
"Niu-di-lân";1.0;3.5
"Pa-ki-xtan";16.0;3.3
"Áo";3.0;3.0
"Phần Lan";2.0;2.8
"Ác-hen-ti-na";1.0;2.4
"Quần đảo Virgin thuộc Hoa Kỳ";1.0;2.3
"Xri Lan-ca";2.0;2.1
"Ai Cập";..;1.8
"Cộng hòa Séc";2.0;1.7
"Nam Phi";2.0;1.1
"Gha-na";2.0;1.1
"Cô-oét";1.0;1.0
"Công-gô";..;0.9
"U-crai-na";2.0;0.8
"Pa-na-ma";1.0;0.8

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

