"Đầu tư trực tiếp của nước ngoài được cấp giấy phép năm 2017 phân theo địa phương chia theo Tỉnh, thành phố và Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"CẢ NƯỚC";2741.0;37100.6
"Đồng bằng sông Hồng";998.0;12006.6
"Hà Nội";554.0;3059.1
"Vĩnh Phúc";45.0;202.0
"Bắc Ninh";188.0;3623.7
"Quảng Ninh";7.0;59.7
"Hải Dương";48.0;353.6
"Hải Phòng";60.0;948.9
"Hưng Yên";41.0;811.8
"Thái Bình";11.0;105.8
"Hà Nam";20.0;297.7
"Nam Định";16.0;2318.7
"Ninh Bình";8.0;225.6
"Trung du và miền núi phía Bắc";118.0;1528.7
"Hà Giang";3.0;5.0
"Cao Bằng";1.0;8.2
"Tuyên Quang";1.0;2.8
"Lào Cai";2.0;18.1
"Yên Bái";4.0;238.1
"Thái Nguyên";14.0;106.6
"Lạng Sơn";1.0;3.4
"Bắc Giang";70.0;856.4
"Phú Thọ";15.0;230.5
"Điện Biên";1.0;5.8
"Sơn La";2.0;15.1
"Hoà Bình";4.0;38.7
"Bắc Trung Bộ và Duyên hải miền Trung";155.0;7278.6
"Thanh Hoá";15.0;3171.7
"Nghệ An";4.0;123.5
"Hà Tĩnh";7.0;118.0
"Quảng Bình";3.0;120.9
"Quảng Trị";..;4.0
"Thừa Thiên - Huế";5.0;6.7
"Đà Nẵng";68.0;143.9
"Quảng Nam";21.0;140.1
"Quảng Ngãi";7.0;374.6
"Bình Định";9.0;149.6
"Phú Yên";3.0;2.6
"Khánh Hoà";4.0;2626.4
"Ninh Thuận";3.0;266.1
"Bình Thuận";6.0;30.4
"Tây Nguyên";11.0;157.6
"Kon Tum";1.0;1.1
"Đắk Lắk";2.0;60.2
"Đắk Nông";1.0;23.6
"Lâm Đồng";7.0;72.6
"Đông Nam Bộ";1320.0;13410.7
"Bình Phước";24.0;510.8
"Tây Ninh";26.0;1017.7
"Bình Dương";196.0;2835.3
"Đồng Nai";86.0;1797.1
"Bà Rịa - Vũng Tàu";25.0;504.4
"TP. Hồ Chí Minh";963.0;6745.4
"Đồng bằng sông Cửu Long";139.0;2718.5
"Long An";101.0;580.3
"Tiền Giang";6.0;150.1
"Bến Tre";4.0;246.0
"Trà Vinh";4.0;143.3
"Vĩnh Long";3.0;127.7
"Đồng Tháp";4.0;76.5
"An Giang";1.0;8.1
"Kiên Giang";7.0;1313.3
"Cần Thơ";4.0;31.2
"Hậu Giang";2.0;0.9
"Sóc Trăng";1.0;20.0
"Cà Mau";2.0;21.0

"(*) Bao gồm vốn cấp mới và vốn tăng thêm của các dự án đã được "
"cấp giấy phép từ các năm trước. Từ năm 2016 bao gồm cả vốn góp, "
"mua cổ phần của nhà đầu tư nước ngoài."

