"Đầu tư trực tiếp ra nước ngoài được cấp giấy phép phân theo ngành kinh tế (Luỹ kế các dự án còn hiệu lực đến ngày 31/12/2017) by Ngành kinh tế and Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"TỔNG SỐ";1047.0;19865.5
"Nông nghiệp, lâm nghiệp và thủy sản";109.0;3090.4
"Khai khoáng";58.0;7967.7
"Công nghiệp chế biến, chế tạo";119.0;1051.7
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";8.0;1483.7
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";2.0;0.6
"Xây dựng";60.0;31.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";282.0;388.1
"Vận tải, kho bãi";36.0;66.0
"Dịch vụ lưu trú và ăn uống";62.0;173.2
"Thông tin và truyền thông";80.0;2601.5
"Hoạt động tài chính, ngân hàng và bảo hiểm";21.0;716.0
"Hoạt động kinh doanh bất động sản";37.0;847.0
"Hoạt động chuyên môn, khoa học và công nghệ";66.0;281.2
"Hoạt động hành chính và dịch vụ hỗ trợ";38.0;65.7
"Giáo dục và đào tạo";8.0;2.7
"Y tế và hoạt động trợ giúp xã hội";6.0;16.0
"Nghệ thuật, vui chơi và giải trí";6.0;1002.5
"Hoạt động dịch vụ khác";49.0;80.5

"(*) Chỉ tính phần vốn của nhà đầu tư Việt Nam; bao gồm cả vốn "
"tăng thêm của các dự án đã được cấp giấy phép từ các năm trước."

