"Đầu tư trực tiếp ra nước ngoài được cấp giấy phép phân theo đối tác đầu tư chủ yếu (Luỹ kế các dự án còn hiệu lực đến ngày 31/12/2017) by Đối tác đầu tư and Phân tổ"

" ";"Số dự án";"Tổng vốn đăng ký (Triệu đô la Mỹ)(*)"
"TỔNG SỐ";1047.0;19865.5
"Trong đó:";..;..
"Lào";196.0;4792.6
"Liên bang Nga";13.0;2825.5
"Cam-pu-chia";168.0;2730.0
"Vê-nê-xu-ê-la";2.0;1825.1
"Mi-an-ma";78.0;1319.3
"An-giê-ri";1.0;1261.5
"Pê-ru";4.0;1249.0
"Ma-lai-xi-a";17.0;845.0
"Hoa Kỳ";149.0;585.1
"Tan-da-ni-a";4.0;356.3
"Mô-dăm-bích";3.0;345.9
"Xin-ga-po";80.0;277.0
"Ca-mơ-run";3.0;230.7
"Ôx-trây-li-a";39.0;202.3
"Cộng hòa Burundi";2.0;170.0
"Quần đảo Virgin thuộc Anh";9.0;132.7
"Ma-đa-ga-xca";1.0;117.4
"CHLB Đức";23.0;105.3
"I-ran";1.0;82.1
"Hai-i-ti";2.0;59.9
"Quốc đảo Marshall";1.0;56.9
"U-gan-đa";1.0;35.0
"Niu-di-lân";7.0;29.8
"In-đô-nê-xi-a";13.0;29.6
"Thái Lan";11.0;28.3
"Đặc khu hành chính Hồng Công (TQ)";22.0;28.3
"Công-gô";1.0;27.1
"CHND Trung Hoa";20.0;15.5
"Đông Ti-mo";1.0;14.9
"Hàn Quốc";29.0;11.7
"Vương quốc Anh";9.0;11.1

"(*) Chỉ tính phần vốn của nhà đầu tư Việt Nam; bao gồm cả vốn "
"tăng thêm của các dự án đã được cấp giấy phép từ các năm trước."

