"Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo địa phương chia theo Tỉnh, thành phố và Năm"

" ";"2010";"2013";"2014";"2015";"2016"
"TỔNG SỐ";85885;86621;89843;93422;102488
"Đồng bằng sông Hồng";23993;22345;21618;20659;24484
"Hà Nội";7297;8442;6685;5932;7521
"Vĩnh Phúc";1965;770;1300;1345;1164
"Bắc Ninh";2614;1960;1993;2343;2194
"Quảng Ninh";1747;1523;1581;1343;1440
"Hải Dương";3100;1305;1474;1768;2759
"Hải Phòng";1337;1477;1486;1329;1712
"Hưng Yên";1392;1320;1547;1708;1912
"Thái Bình";1460;2055;2168;1137;1835
"Hà Nam";1323;622;903;910;760
"Nam Định";523;1453;1475;1705;1857
"Ninh Bình";1235;1418;1006;1139;1330
"Trung du và miền núi phía Bắc";14147;12329;12662;14327;14051
"Hà Giang";385;537;538;550;616
"Cao Bằng";680;619;701;729;603
"Bắc Kạn";350;182;234;377;341
"Tuyên Quang";1134;1082;1001;1055;983
"Lào Cai";256;494;617;686;887
"Yên Bái";837;776;746;775;751
"Thái Nguyên";2307;1437;1506;1660;1663
"Lạng Sơn";902;1057;1006;1113;994
"Bắc Giang";2003;2471;2598;3323;3490
"Phú Thọ";2259;986;1143;1370;1109
"Điện Biên";853;579;515;538;447
"Lai Châu";229;258;309;389;372
"Sơn La";650;993;1073;1014;1015
"Hoà Bình";1302;858;675;748;780
"Bắc Trung Bộ và duyên hải miền Trung";13399;17717;19023;19237;19958
"Thanh Hoá";1289;4291;4307;4782;4914
"Nghệ An";740;3407;3861;3385;3664
"Hà Tĩnh";1179;1403;1283;1156;1301
"Quảng Bình";1058;822;867;1144;1130
"Quảng Trị";1030;705;736;822;776
"Thừa Thiên - Huế";1015;863;589;660;736
"Đà Nẵng";688;751;970;813;728
"Quảng Nam";435;314;323;265;131
"Quảng Ngãi";1439;803;978;1142;1337
"Bình Định";1449;1575;1734;1803;1928
"Phú Yên";992;805;864;864;1000
"Khánh Hoà";1164;748;1123;1185;902
"Ninh Thuận";580;515;540;568;604
"Bình Thuận";341;715;848;648;807
"Tây Nguyên";4505;5640;5966;6092;5829
"Kon Tum";323;462;500;541;556
"Gia Lai";696;1464;1653;1475;1503
"Đắk Lắk";1671;1862;1693;1858;1404
"Đắk Nông";632;539;573;609;629
"Lâm Đồng";1183;1313;1547;1609;1737
"Đông Nam Bộ";11757;10875;11271;13736;16917
"Bình Phước";1221;1823;1592;1774;1793
"Tây Ninh";2009;1750;1340;1428;1454
"Bình Dương";651;862;1383;1857;1720
"Đồng Nai";2340;2503;2144;2436;2966
"Bà Rịa - Vũng Tàu";122;1046;1122;1102;1374
"TP. Hồ Chí Minh";5414;2891;3690;5139;7610
"Đồng bằng sông Cửu Long";18084;17715;19303;19371;21249
"Long An";2170;2868;2275;2324;2144
"Tiền Giang";1426;1165;1450;1187;1443
"Bến Tre";291;590;617;784;721
"Trà Vinh";1411;949;998;1289;1423
"Vĩnh Long";958;1218;1255;1312;1441
"Đồng Tháp";1082;1515;1843;1978;2094
"An Giang";1958;1285;1477;1615;1541
"Kiên Giang";1757;2233;2693;2724;3086
"Cần Thơ";2267;1342;1431;1550;1730
"Hậu Giang";935;1041;1026;1025;1145
"Sóc Trăng";1666;1545;1973;1445;1776
"Bạc Liêu";1202;798;730;455;769
"Cà Mau";961;1166;1535;1683;1936

