,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,252.00",AUD,AUST.DOLLAR,"16,570.00","16,351.00",2019-03-22,15
1,"17,087.00",CAD,CANADIAN DOLLAR,"17,471.00","17,242.00",2019-03-22,15
2,"22,989.00",CHF,SWISS FRANCE,"23,492.00","23,152.00",2019-03-22,15
3,,DKK,DANISH KRONE,"3,584.00","3,445.00",2019-03-22,15
4,"26,003.00",EUR,EURO,"26,774.00","26,082.00",2019-03-22,15
5,"30,043.00",GBP,BRITISH POUND,"30,565.00","30,255.00",2019-03-22,15
6,"2,899.00",HKD,HONGKONG DOLLAR,"2,994.00","2,919.00",2019-03-22,15
7,,INR,INDIAN RUPEE,364.00,320.00,2019-03-22,15
8,197.00,JPY,JAPANESE YEN,217.00,198.00,2019-03-22,15
9,,KRW,SOUTH KOREAN WON,25.00,15.00,2019-03-22,15
10,,KWD,KUWAITI DINAR,"79,289.00","76,266.00",2019-03-22,15
11,,MYR,MALAYSIAN RINGGIT,"5,766.00","5,662.00",2019-03-22,15
12,,NOK,NORWEGIAN KRONER,"2,773.00","2,658.00",2019-03-22,15
13,,SEK,SWEDISH KRONA,"2,549.00","2,456.00",2019-03-22,15
14,"16,942.00",SGD,SINGAPORE DOLLAR,"17,289.00","17,062.00",2019-03-22,15
15,711.00,THB,THAI BAHT,753.00,711.00,2019-03-22,15
16,"23,140.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-22,15
0,"16,283.44",AUD,AUST.DOLLAR,"16,591.06","16,386.88",2019-03-22,61
1,"17,092.12",CAD,CANADIAN DOLLAR,"17,466.20","17,252.57",2019-03-22,61
2,"23,031.66",CHF,SWISS FRANCE,"23,524.77","23,199.19",2019-03-22,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-03-22,61
4,,DKK,DANISH KRONE,"3,590.14","3,481.02",2019-03-22,61
5,"26,151.90",EUR,EURO,"26,916.52","26,235.67",2019-03-22,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-03-22,61
7,"30,070.65",GBP,BRITISH POUND,"30,582.58","30,287.80",2019-03-22,61
8,"2,910.51",HKD,HONGKONG DOLLAR,"2,983.01","2,931.06",2019-03-22,61
9,,INR,INDIAN RUPEE,349.67,336.46,2019-03-22,61
10,198.19,JPY,JAPANESE YEN,211.64,204.74,2019-03-22,61
11,18.70,KRW,SOUTH KOREAN WON,21.24,19.70,2019-03-22,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-03-22,61
13,,MYR,MALAYSIAN RINGGIT,"5,752.50","5,678.98",2019-03-22,61
14,,NOK,NORWEGIAN KRONER,"2,787.92","2,703.19",2019-03-22,61
15,,SEK,SWEDISH KRONA,"2,561.12","2,498.22",2019-03-22,61
16,"16,966.43",SGD,SINGAPORE DOLLAR,"17,303.09","17,091.21",2019-03-22,61
17,716.68,THB,THAI BAHT,746.57,716.68,2019-03-22,61
18,"23,125.00",USD,US DOLLAR,"23,255.00","23,155.00",2019-03-22,61
0,"16,257.81",AUD,AUST.DOLLAR,"16,593.00","16,371.04",2019-03-22,84
1,"17,092.02",CAD,CANADIAN DOLLAR,"17,472.00","17,244.00",2019-03-22,84
2,"22,989.98",CHF,SWISS FRANCE,"23,567.00","23,172.19",2019-03-22,84
3,,DKK,DANISH KRONE,"3,590.00","3,460.98",2019-03-22,84
4,"26,023.88",EUR,EURO,"26,754.21","26,102.19",2019-03-22,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-03-22,84
6,"30,043.93",GBP,BRITISH POUND,"30,629.00","30,275.86",2019-03-22,84
7,"2,914.07",HKD,HONGKONG DOLLAR,"2,983.00","2,933.00",2019-03-22,84
8,202.84,JPY,JAPANESE YEN,210.83,204.89,2019-03-22,84
9,18.39,KRW,SOUTH KOREAN WON,21.48,19.56,2019-03-22,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-03-22,84
11,,NOK,NORWEGIAN KRONER,"2,789.00","2,673.86",2019-03-22,84
12,,SEK,SWEDISH KRONA,"2,565.00","2,471.98",2019-03-22,84
13,"16,962.61",SGD,SINGAPORE DOLLAR,"17,317.00","17,082.19",2019-03-22,84
14,651.00,THB,THAI BAHT,747.12,715.00,2019-03-22,84
15,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-22,84
0,"16,272.81",AUD,AUST.DOLLAR,"16,549.83","16,371.04",2019-03-22,73
1,"17,107.02",CAD,CANADIAN DOLLAR,"17,450.91","17,262.38",2019-03-22,73
2,"23,009.98",CHF,SWISS FRANCE,"23,472.16","23,172.19",2019-03-22,73
3,,DKK,DANISH KRONE,"3,569.46","3,460.98",2019-03-22,73
4,"26,023.88",EUR,EURO,"26,754.21","26,102.19",2019-03-22,73
5,"30,063.93",GBP,BRITISH POUND,"30,545.36","30,275.86",2019-03-22,73
6,"2,914.07",HKD,HONGKONG DOLLAR,"2,978.56","2,934.61",2019-03-22,73
7,,INR,INDIAN RUPEE,348.53,335.37,2019-03-22,73
8,202.84,JPY,JAPANESE YEN,210.83,204.89,2019-03-22,73
9,18.88,KRW,SOUTH KOREAN WON,20.90,19.87,2019-03-22,73
10,,KWD,KUWAITI DINAR,"79,274.27","76,281.19",2019-03-22,73
11,,MYR,MALAYSIAN RINGGIT,"5,751.26","5,677.76",2019-03-22,73
12,,NOK,NORWEGIAN KRONER,"2,757.67","2,673.86",2019-03-22,73
13,,SEK,SWEDISH KRONA,"2,534.21","2,471.98",2019-03-22,73
14,"16,962.61",SGD,SINGAPORE DOLLAR,"17,268.75","17,082.19",2019-03-22,73
15,717.20,THB,THAI BAHT,747.12,717.20,2019-03-22,73
16,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-22,73
0,"16,262.81",AUD,AUST.DOLLAR,"16,554.83","16,366.04",2019-03-22,105
1,"17,097.02",CAD,CANADIAN DOLLAR,"17,455.91","17,257.38",2019-03-22,105
2,"22,999.98",CHF,SWISS FRANCE,"23,477.16","23,167.19",2019-03-22,105
3,,DKK,DANISH KRONE,"3,569.46","3,460.98",2019-03-22,105
4,"26,013.88",EUR,EURO,"26,759.21","26,097.19",2019-03-22,105
5,"30,053.93",GBP,BRITISH POUND,"30,550.36","30,270.86",2019-03-22,105
6,"2,904.07",HKD,HONGKONG DOLLAR,"2,983.56","2,929.61",2019-03-22,105
7,,INR,INDIAN RUPEE,348.53,335.37,2019-03-22,105
8,200.84,JPY,JAPANESE YEN,212.83,202.89,2019-03-22,105
9,18.88,KRW,SOUTH KOREAN WON,20.90,19.87,2019-03-22,105
10,,KWD,KUWAITI DINAR,"78,809.74","75,832.98",2019-03-22,105
11,,MYR,MALAYSIAN RINGGIT,"5,892.68","5,817.28",2019-03-22,105
12,,NOK,NORWEGIAN KRONER,"2,757.67","2,673.86",2019-03-22,105
13,,SEK,SWEDISH KRONA,"2,534.21","2,471.98",2019-03-22,105
14,"16,952.61",SGD,SINGAPORE DOLLAR,"17,273.75","17,077.19",2019-03-22,105
15,697.20,THB,THAI BAHT,752.12,712.20,2019-03-22,105
16,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-22,105
0,,ATS,SCHILING AUSTRIA,969.13,955.69,2019-03-22,64
1,"16,272.81",AUD,AUST.DOLLAR,"16,549.83","16,371.04",2019-03-22,64
2,"17,107.02",CAD,CANADIAN DOLLAR,"17,450.91","17,262.38",2019-03-22,64
