city,value
An Giang,15
Ba Đình,61
Bắc Bình Dương,84
Bắc Giang,73
Bắc Gia Lai,105
Bắc Hà Tĩnh,64
Bạc Liêu,89
Bắc Ninh,35
Bắc Sài Gòn,50
Bến Tre,24
Biên Hòa,48
Bình Định,5
Bình Dương,28
Bình Phước,104
Bình Tây,25
Bình Thuận,62
Cà Mau,19
Cần Thơ,11
Châu Đốc,47
Chương Dương,54
Đà Nẵng,4
Đắc Lắc,23
Đông Anh,96
Đông Bình Dương,107
Đồng Nai,12
Đông Sài Gòn,53
Đồng Tháp,60
Dung Quất,57
Gia Định,88
Gia Lai,29
Tân Sơn Nhất,91
Hạ Long,52
Hà Nam,90
Hà Nội,2
Tây Hà Nội,69
Hà Thành,85
Hà Tĩnh,20
Hải Dương,34
Hải Phòng,3
Hoàn Kiếm,30
Hoàng Mai,93
Hội Sở Chính,68
Huế,16
Hùng Vương,42
Hưng Yên,59
Khánh Hòa,6
Kiên Giang,9
Kon Tum,76
Kỳ Đồng,72
Lâm Đồng,56
Lạng Sơn,98
Lào Cai,95
Long An,63
Long Khánh,87
Móng Cái,55
Nam Bình Dương,41
Nam Đà Nẵng,100
Nam Định,83
Nam Hà Nội,97
Nam Hải Phòng,103
Nam Sài Gòn,18
Nghệ An,10
Nghi Sơn,111
Phú Nhuận,92
Nha Trang,58
Nhơn Trạch,40
Ninh Bình,22
Ninh Thuận,81
Phố Hiến,102
Phú Quốc,101
Phú Thọ,80
Phú Yên,75
Phúc Yên,109
Quảng Bình,31
Quảng Nam,65
Quảng Ngãi,27
Quảng Ninh,14
Quảng Trị,77
Quy Nhơn,43
Sài Gòn,33
Sài Thành,51
Sở Giao Dịch,1
Sóc Sơn,94
Sóc Trăng,32
Tân Bình Dương,46
Tân Bình,44
Tân Định,37
Tây Cần Thơ,39
Tây Hồ,99
Tây Ninh,70
Tây Sài Gòn,17
Thái Bình,21
Thái Nguyên,82
Thăng Long,49
Thành Công,45
Thanh Hóa,78
Thanh Xuân,71
Thủ Đức,38
Thủ Thiêm,26
Tiền Giang,67
TP HCM,7
Trà Vinh,74
Vinh,86
Vĩnh Long,79
Vĩnh Phúc,36
Vũng Tàu,8
Tuyên Quang,112
